Note,Onset (ms),Offset (ms),Time_duration (ms),Score_duration,Time-Signature,Voice,Movement,Measure,Repeated
0,0,2298.7755102040815,2298.7755102040815,0,0,.,x,x,.
A4,2298.7755102040815,3784.8526077097504,1486.077097505669,1.0,3/4,x,1,1,0
C5,3784.8526077097504,5503.1292517006805,1718.27664399093,1.0,3/4,x,1,1,0
E5,5503.1292517006805,6757.006802721088,1253.8775510204077,1.0,3/4,x,1,1,0
F4,6757.006802721088,9636.281179138323,2879.2743764172346,1.0,3/4,x,1,2,0
0,9636.281179138323,9659.50113378685,23.219954648526254,0.25,3/4,.,1,2,0
E5,9659.50113378685,10054.240362811792,394.7392290249427,0.25,3/4,x,1,2,0
D5,10054.240362811792,10356.099773242631,301.8594104308395,0.25,3/4,x,1,2,0
C♯5,10356.099773242631,10774.0589569161,417.95918367346894,0.25,3/4,x,1,2,0
D5,10774.0589569161,10983.038548752835,208.97959183673447,0.25,3/4,x,1,2,0
F5,10983.038548752835,11493.877551020407,510.83900226757214,0.25,3/4,x,1,2,0
A5,11493.877551020407,11517.097505668933,23.219954648526254,0.25,3/4,x,1,2,0
D6,11517.097505668933,12167.256235827665,650.1587301587315,0.25,3/4,x,1,2,0
G4,12167.256235827665,13514.013605442176,1346.7573696145118,1.0,3/4,x,1,3,0
B4,13514.013605442176,14675.011337868482,1160.9977324263054,1.0,3/4,x,1,3,0
D5,14675.011337868482,16370.068027210884,1695.056689342402,1.0,3/4,x,1,3,0
E4,16370.068027210884,19156.462585034013,2786.3945578231287,1.0,3/4,x,1,4,0
0,19156.462585034013,19179.682539682537,23.219954648524435,0.25,3/4,.,1,4,0
D5,19179.682539682537,19667.301587301587,487.6190476190495,0.25,3/4,x,1,4,0
C5,19667.301587301587,20015.60090702948,348.299319727892,0.25,3/4,x,1,4,0
B4,20015.60090702948,20247.800453514737,232.1995464852589,0.25,3/4,x,1,4,0
C5,20247.800453514737,20735.419501133787,487.6190476190495,0.25,3/4,x,1,4,0
E5,20735.419501133787,20990.839002267574,255.41950113378698,0.25,3/4,x,1,4,0
G5,20990.839002267574,21292.698412698413,301.8594104308395,0.25,3/4,x,1,4,0
C6,21292.698412698413,22058.956916099774,766.2585034013609,0.25,3/4,x,1,4,0
F4,22058.956916099774,23312.834467120185,1253.8775510204105,1.0,3/4,x,1,5,0
A4,23312.834467120185,24473.832199546487,1160.9977324263018,1.0,3/4,x,1,5,0
C5,24473.832199546487,25959.909297052152,1486.0770975056657,1.0,3/4,x,1,5,0
D4,25959.909297052152,27562.086167800455,1602.1768707483025,0.25,3/4,x,1,6,0
C5,27562.086167800455,28119.365079365078,557.2789115646228,0.25,3/4,x,1,6,0
B4,28119.365079365078,28305.124716553288,185.75963718821004,0.25,3/4,x,1,6,0
A4,28305.124716553288,28630.20408163265,325.0793650793639,0.25,3/4,x,1,6,0
C5,28630.20408163265,29280.362811791383,650.1587301587315,0.25,3/4,x,1,6,0
A4,29280.362811791383,29559.002267573695,278.6394557823114,0.25,3/4,x,1,6,0
G♯4,29559.002267573695,30046.621315192744,487.6190476190495,0.25,3/4,x,1,6,0
A4,30046.621315192744,30232.380952380954,185.75963718821004,0.25,3/4,x,1,6,0
G♯4,30232.380952380954,31277.278911564626,1044.8979591836724,0.25,3/4,x,1,6,0
A4,31277.278911564626,31346.938775510203,69.65986394557694,0.25,3/4,x,1,6,0
G♯4,31346.938775510203,31370.15873015873,23.219954648528073,0.25,3/4,x,1,6,0
A4,31370.15873015873,31718.45804988662,348.29931972788836,0.25,3/4,x,1,6,0
E4,31718.45804988662,32275.736961451243,557.2789115646228,0.25,3/4,x,1,7,0
A4,32275.736961451243,32647.256235827663,371.51927437642007,0.25,3/4,x,1,7,0
G♯4,32647.256235827663,32949.115646258506,301.8594104308431,0.25,3/4,x,1,7,0
A4,32949.115646258506,33227.755102040814,278.6394557823078,0.25,3/4,x,1,7,0
C5,33227.755102040814,33622.49433106576,394.73922902494814,0.25,3/4,x,1,7,0
A4,33622.49433106576,33901.13378684807,278.6394557823078,0.25,3/4,x,1,7,0
G♯4,33901.13378684807,34411.97278911564,510.83900226757396,0.25,3/4,x,1,7,0
A4,34411.97278911564,34551.2925170068,139.3197278911539,0.25,3/4,x,1,7,0
G♯4,34551.2925170068,34922.81179138322,371.51927437642007,0.25,3/4,x,1,7,0
A4,34922.81179138322,35085.35147392291,162.53968253968924,0.25,3/4,x,1,7,0
G♯4,35085.35147392291,35340.770975056694,255.41950113378698,0.25,3/4,x,1,7,0
A4,35340.770975056694,35758.73015873016,417.95918367346894,0.25,3/4,x,1,7,0
F4,35758.73015873016,36176.689342403624,417.95918367346167,0.25,3/4,x,1,8,0
A4,36176.689342403624,36455.32879818594,278.63945578231505,0.25,3/4,x,1,8,0
D5,36455.32879818594,36710.748299319726,255.41950113378698,0.25,3/4,x,1,8,0
F4,36710.748299319726,36942.947845804985,232.1995464852589,0.25,3/4,x,1,8,0
A4,36942.947845804985,37268.02721088436,325.0793650793712,0.25,3/4,x,1,8,0
D5,37268.02721088436,37477.00680272109,208.97959183673083,0.25,3/4,x,1,8,0
F5,37477.00680272109,37639.54648526078,162.53968253968924,0.25,3/4,x,1,8,0
A4,37639.54648526078,37918.185941043084,278.6394557823078,0.25,3/4,x,1,8,0
D5,37918.185941043084,38220.04535147392,301.85941043083585,0.25,3/4,x,1,8,0
F5,38220.04535147392,38405.80498866213,185.75963718821004,0.25,3/4,x,1,8,0
A5,38405.80498866213,38638.0045351474,232.19954648526618,0.25,3/4,x,1,8,0
D5,38638.0045351474,38800.54421768708,162.53968253968196,0.25,3/4,x,1,8,0
F5,38800.54421768708,39055.963718820865,255.41950113378698,0.25,3/4,x,1,9,0
A5,39055.963718820865,39264.9433106576,208.9795918367381,0.25,3/4,x,1,9,0
D6,39264.9433106576,39729.342403628114,464.39909297051054,0.25,3/4,x,1,9,0
