Note,Onset (ms),Offset (ms),Time_duration (ms),Score_duration,Time-Signature,Voice,Movement,Measure,Repeated
0,0,1956.9777777777776,1956.9777777777776,0,0,.,x,x,.
E5,1956.9777777777776,2912.711111111111,955.7333333333336,0.5,4/4,u,1,1,0
E4,2912.711111111111,3345.066666666667,432.35555555555584,0.25,4/4,B,1,1,0
F♯4,3345.066666666667,3686.4,341.33333333333303,0.25,4/4,B,1,1,0
G4,3686.4,4141.511111111111,455.11111111111086,0.25,4/4,b,1,1,0
E5,4141.511111111111,4414.577777777778,273.0666666666666,0.25,4/4,u,1,1,0
A4,4414.577777777778,4824.177777777778,409.60000000000036,0.25,4/4,b,1,1,0
E5,4824.177777777778,5142.7555555555555,318.57777777777756,0.25,4/4,u,1,1,0
B4,5142.7555555555555,5757.155555555555,614.3999999999996,0.25,4/4,b,1,1,0
E5,5757.155555555555,6030.222222222222,273.0666666666666,0.25,4/4,u,1,1,0
D♯5,6030.222222222222,7850.666666666666,1820.4444444444443,0.5,4/4,u,1,1,0
0,7850.666666666666,7896.177777777778,45.51111111111186,0.5,4/4,.,1,1,0
D♯5,7896.177777777778,8032.711111111111,136.53333333333285,0.25,4/4,x,1,1,0
E5,8032.711111111111,8283.022222222222,250.31111111111113,0.25,4/4,x,1,1,0
F♯5,8283.022222222222,9193.244444444445,910.2222222222226,0.25,4/4,x,1,2,0
B4,9193.244444444445,9216.0,22.755555555555475,0.25,4/4,b,1,2,0
A4,9216.0,9671.111111111111,455.1111111111113,0.25,4/4,b,1,2,0
C6,9671.111111111111,9989.688888888888,318.57777777777665,0.25,4/4,u,1,2,0
G4,9989.688888888888,10353.777777777777,364.0888888888894,0.25,4/4,B,1,2,0
B5,10353.777777777777,10740.622222222222,386.8444444444449,0.25,4/4,u,1,2,0
F♯4,10740.622222222222,11081.955555555556,341.33333333333394,0.25,4/4,B,1,2,0
A5,11081.955555555556,11446.044444444444,364.0888888888876,0.25,4/4,u,1,2,0
E4,11446.044444444444,12083.199999999999,637.1555555555551,0.25,4/4,B,1,2,0
G5,12083.199999999999,12288.0,204.8000000000011,0.125,4/4,u,1,2,0
F♯5,12288.0,12765.866666666665,477.86666666666497,0.125,4/4,u,1,2,0
E5,12765.866666666665,13903.644444444444,1137.7777777777792,0.5,4/4,u,1,2,0
0,13903.644444444444,13971.911111111112,68.26666666666824,0.25,4/4,.,1,2,0
F♯5,13971.911111111112,14267.733333333334,295.82222222222117,0.25,4/4,x,1,2,0
G5,14267.733333333334,14745.6,477.8666666666668,0.25,4/4,x,1,2,0
B4,14745.6,15064.177777777777,318.57777777777665,0.25,4/4,x,1,2,0
C5,15064.177777777777,15587.555555555555,523.3777777777777,0.25,4/4,x,1,3,0
A5,15587.555555555555,15906.133333333333,318.57777777777846,0.25,4/4,x,1,3,0
F♯5,15906.133333333333,16270.222222222223,364.0888888888894,0.25,4/4,x,1,3,0
G5,16270.222222222223,16611.555555555555,341.3333333333321,0.25,4/4,x,1,3,0
B4,16611.555555555555,17203.2,591.644444444446,0.25,4/4,x,1,3,0
D6,17203.2,17521.777777777777,318.57777777777665,0.25,4/4,x,1,3,0
F♯5,17521.777777777777,17908.622222222224,386.8444444444467,0.25,4/4,x,1,3,0
G5,17908.622222222224,18386.48888888889,477.86666666666497,0.25,4/4,x,1,3,0
C5,18386.48888888889,18909.866666666665,523.3777777777759,0.25,4/4,x,1,3,0
A5,18909.866666666665,19228.444444444445,318.5777777777803,0.25,4/4,x,1,3,0
F♯5,19228.444444444445,19592.533333333333,364.0888888888876,0.25,4/4,x,1,3,0
G5,19592.533333333333,19956.62222222222,364.0888888888876,0.25,4/4,x,1,3,0
B4,19956.62222222222,20457.244444444445,500.6222222222241,0.25,4/4,x,1,3,0
D6,20457.244444444445,20775.82222222222,318.57777777777665,0.25,4/4,x,1,3,0
F♯5,20775.82222222222,21162.666666666668,386.8444444444467,0.25,4/4,x,1,3,0
G5,21162.666666666668,21663.28888888889,500.62222222222044,0.25,4/4,x,1,3,0
A4,21663.28888888889,22277.68888888889,614.4000000000015,0.25,4/4,B,1,4,0
C6,22277.68888888889,22619.022222222226,341.33333333333576,0.25,4/4,x,1,4,0
F♯4,22619.022222222226,23005.866666666665,386.84444444443943,0.25,4/4,B,1,4,0
C6,23005.866666666665,23347.2,341.33333333333576,0.25,4/4,x,1,4,0
G4,23347.2,23825.06666666667,477.8666666666686,0.25,4/4,B,1,4,0
B5,23825.06666666667,24166.399999999998,341.3333333333285,0.25,4/4,x,1,4,0
C♯5,24166.399999999998,24530.48888888889,364.08888888889123,0.25,4/4,x,1,4,0
B5,24530.48888888889,25122.133333333335,591.644444444446,0.25,4/4,x,1,4,0
D5,25122.133333333335,25395.2,273.0666666666657,0.25,4/4,x,1,4,0
B5,25395.2,25850.31111111111,455.1111111111095,0.25,4/4,x,1,4,0
A5,25850.31111111111,27625.244444444445,1774.9333333333343,0.5,4/4,x,1,4,0
0,27625.244444444445,27648.0,22.755555555555475,0.25,4/4,.,1,4,0
C5,27648.0,27966.57777777778,318.5777777777803,0.25,4/4,x,1,4,0
B4,27966.57777777778,28398.93333333333,432.3555555555504,0.25,4/4,x,1,4,0
A4,28398.93333333333,28649.244444444445,250.31111111111386,0.25,4/4,x,1,4,0
B4,28649.244444444445,29263.644444444446,614.4000000000015,0.25,4/4,x,1,5,0
A5,29263.644444444446,29559.466666666667,295.82222222222117,0.25,4/4,x,1,5,0
G5,29559.466666666667,30037.333333333332,477.86666666666497,0.25,4/4,x,1,5,0
B4,30037.333333333332,30424.17777777778,386.8444444444467,0.25,4/4,x,1,5,0
D4,30424.17777777778,30970.31111111111,546.1333333333314,0.25,4/4,B,1,5,0
G5,30970.31111111111,31311.644444444442,341.3333333333321,0.25,4/4,x,1,5,0
F♯5,31311.644444444442,31903.28888888889,591.644444444446,0.25,4/4,x,1,5,0
