Note,Onset (ms),Offset (ms),Time_duration (ms),Score_duration,Time-Signature,Voice,Movement,Measure,Repeated
0,0,1346.7573696145125,1346.7573696145125,0,0,.,x,x,.
A4,1346.7573696145125,2786.394557823129,1439.6371882086166,1.0,3/4,x,1,1,0
C5,2786.394557823129,4086.71201814059,1300.3174603174607,1.0,3/4,x,1,1,0
E5,4086.71201814059,5503.1292517006805,1416.4172335600906,1.0,3/4,x,1,1,0
F4,5503.1292517006805,7569.705215419501,2066.5759637188203,1.0,3/4,x,1,2,0
0,7569.705215419501,8173.42403628118,603.718820861679,0.25,3/4,.,1,2,0
E5,8173.42403628118,8498.503401360544,325.0793650793639,0.25,3/4,x,1,2,0
D5,8498.503401360544,8753.92290249433,255.41950113378698,0.25,3/4,x,1,2,0
C♯5,8753.92290249433,9009.342403628118,255.41950113378698,0.25,3/4,x,1,2,0
D5,9009.342403628118,9334.421768707482,325.0793650793639,0.25,3/4,x,1,2,0
F5,9334.421768707482,9636.281179138323,301.8594104308413,0.25,3/4,x,1,2,0
A5,9636.281179138323,10054.240362811792,417.95918367346894,0.25,3/4,x,1,2,0
D6,10054.240362811792,10774.0589569161,719.8185941043084,0.25,3/4,x,1,2,0
G4,10774.0589569161,12306.57596371882,1532.51700680272,1.0,3/4,x,1,3,0
B4,12306.57596371882,13537.233560090703,1230.6575963718824,1.0,3/4,x,1,3,0
D5,13537.233560090703,15092.97052154195,1555.7369614512481,1.0,3/4,x,1,3,0
E4,15092.97052154195,16997.006802721087,1904.0362811791365,1.0,3/4,x,1,4,0
0,16997.006802721087,17693.60544217687,696.598639455784,0.25,3/4,.,1,4,0
D5,17693.60544217687,18111.56462585034,417.95918367346894,0.25,3/4,x,1,4,0
C5,18111.56462585034,18390.20408163265,278.6394557823114,0.25,3/4,x,1,4,0
B4,18390.20408163265,18715.28344671202,325.07936507936756,0.25,3/4,x,1,4,0
C5,18715.28344671202,19110.02267573696,394.73922902494087,0.25,3/4,x,1,4,0
E5,19110.02267573696,19388.662131519275,278.63945578231505,0.25,3/4,x,1,4,0
G5,19388.662131519275,19690.52154195011,301.85941043083585,0.25,3/4,x,1,4,0
C6,19690.52154195011,20410.340136054423,719.8185941043121,0.25,3/4,x,1,4,0
F4,20410.340136054423,21896.41723356009,1486.0770975056657,1.0,3/4,x,1,5,0
A4,21896.41723356009,23428.93424036281,1532.5170068027219,1.0,3/4,x,1,5,0
C5,23428.93424036281,25031.111111111113,1602.1768707483025,1.0,3/4,x,1,5,0
D4,25031.111111111113,26679.727891156464,1648.6167800453513,0.25,3/4,x,1,6,0
C5,26679.727891156464,27306.666666666668,626.9387755102034,0.25,3/4,x,1,6,0
B4,27306.666666666668,27631.74603174603,325.0793650793639,0.25,3/4,x,1,6,0
A4,27631.74603174603,27933.605442176868,301.85941043083585,0.25,3/4,x,1,6,0
C5,27933.605442176868,28328.344671201816,394.73922902494814,0.25,3/4,x,1,6,0
A4,28328.344671201816,28583.764172335603,255.41950113378698,0.25,3/4,x,1,6,0
G♯4,28583.764172335603,28955.283446712016,371.5192743764128,0.25,3/4,x,1,6,0
A4,28955.283446712016,29210.702947845806,255.41950113379062,0.25,3/4,x,1,6,0
G♯4,29210.702947845806,29489.342403628118,278.6394557823114,0.25,3/4,x,1,6,0
A4,29489.342403628118,29698.321995464852,208.97959183673447,0.25,3/4,x,1,6,0
G♯4,29698.321995464852,29976.961451247167,278.63945578231505,0.25,3/4,x,1,6,0
A4,29976.961451247167,30371.700680272108,394.73922902494087,0.25,3/4,x,1,6,0
E4,30371.700680272108,30882.539682539682,510.83900226757396,0.25,3/4,x,1,7,0
A4,30882.539682539682,31254.058956916102,371.51927437642007,0.25,3/4,x,1,7,0
G♯4,31254.058956916102,31486.25850340136,232.1995464852589,0.25,3/4,x,1,7,0
A4,31486.25850340136,31927.437641723354,441.1791383219934,0.25,3/4,x,1,7,0
C5,31927.437641723354,32136.41723356009,208.97959183673447,0.25,3/4,x,1,7,0
A4,32136.41723356009,32484.71655328798,348.299319727892,0.25,3/4,x,1,7,0
G♯4,32484.71655328798,32716.916099773243,232.19954648526254,0.25,3/4,x,1,7,0
A4,32716.916099773243,33018.77551020408,301.8594104308395,0.25,3/4,x,1,7,0
G♯4,33018.77551020408,33204.53514739229,185.75963718821004,0.25,3/4,x,1,7,0
A4,33204.53514739229,33483.1746031746,278.6394557823078,0.25,3/4,x,1,7,0
G♯4,33483.1746031746,33692.15419501134,208.9795918367381,0.25,3/4,x,1,7,0
A4,33692.15419501134,34063.67346938776,371.51927437642007,0.25,3/4,x,1,7,0
F4,34063.67346938776,34551.2925170068,487.6190476190386,0.25,3/4,x,1,8,0
A4,34551.2925170068,34922.81179138322,371.51927437642007,0.25,3/4,x,1,8,0
D5,34922.81179138322,35247.89115646259,325.0793650793712,0.25,3/4,x,1,8,0
F4,35247.89115646259,35526.5306122449,278.6394557823078,0.25,3/4,x,1,8,0
A4,35526.5306122449,35851.60997732427,325.0793650793712,0.25,3/4,x,1,8,0
D5,35851.60997732427,36107.029478458055,255.41950113378698,0.25,3/4,x,1,8,0
F5,36107.029478458055,36339.229024943306,232.19954648525163,0.25,3/4,x,1,8,0
A4,36339.229024943306,36571.42857142857,232.19954648526618,0.25,3/4,x,1,8,0
D5,36571.42857142857,36896.50793650794,325.0793650793639,0.25,3/4,x,1,8,0
F5,36896.50793650794,37105.48752834467,208.97959183673083,0.25,3/4,x,1,8,0
A5,37105.48752834467,37314.467120181405,208.9795918367381,0.25,3/4,x,1,8,0
D5,37314.467120181405,37546.666666666664,232.1995464852589,0.25,3/4,x,1,8,0
F5,37546.666666666664,37755.6462585034,208.9795918367381,0.25,3/4,x,1,9,0
A5,37755.6462585034,38034.28571428572,278.63945578231505,0.25,3/4,x,1,9,0
D6,38034.28571428572,38312.925170068025,278.6394557823078,0.25,3/4,x,1,9,0
F5,38312.925170068025,38521.90476190476,208.9795918367381,0.25,3/4,x,1,9,0
A5,38521.90476190476,38800.54421768708,278.63945578231505,0.25,3/4,x,1,9,0
D5,38800.54421768708,39125.623582766435,325.07936507935665,0.25,3/4,x,1,9,0
F5,39125.623582766435,39264.9433106576,139.31972789116844,0.25,3/4,x,1,9,0
A4,39264.9433106576,39682.902494331065,417.95918367346167,0.25,3/4,x,1,9,0
D5,39682.902494331065,43444.535147392286,3761.6326530612205,1.0,3/4,x,1,9,0
0,43444.535147392286,43955.37414965986,510.83900226757396,0.5,3/4,.,1,10,0
D4,43955.37414965986,43978.594104308395,23.21995464853535,0.5,3/4,x,1,10,0
A4,43978.594104308395,45580.77097505669,1602.1768707482915,1.5,3/4,x,1,10,0
G♯4,45580.77097505669,45789.750566893425,208.9795918367381,0.25,3/4,x,1,10,0
A4,45789.750566893425,46138.04988662132,348.299319727892,0.25,3/4,x,1,10,0
G♯4,46138.04988662132,46881.08843537415,743.0385487528329,0.25,3/4,x,1,11,0
D♯5,46881.08843537415,47206.16780045351,325.0793650793639,0.25,3/4,x,1,11,0
E5,47206.16780045351,47624.12698412698,417.95918367346894,0.25,3/4,x,1,11,0
B4,47624.12698412698,48042.08616780046,417.9591836734762,0.25,3/4,x,1,11,0
G♯4,48042.08616780046,48413.60544217687,371.5192743764128,0.25,3/4,x,1,11,0
A4,48413.60544217687,48831.56462585034,417.95918367346894,0.25,3/4,x,1,11,0
B4,48831.56462585034,49365.62358276644,534.058956916102,0.25,3/4,x,1,11,0
G♯4,49365.62358276644,50085.44217687075,719.8185941043048,0.25,3/4,x,1,11,0
E4,50085.44217687075,52314.557823129246,2229.1156462584986,1.0,3/4,x,1,11,0
0,52314.557823129246,55379.5918367347,3065.034013605451,0,0,.,x,x,.
0,55379.5918367347,55402.811791383225,23.219954648528073,0.5,3/4,.,2,12,0
C5,55402.811791383225,55518.91156462585,116.09977324262582,0.25,3/4,u,2,12,0
D5,55518.91156462585,55611.791383219956,92.87981859410502,0.25,3/4,u,2,12,0
E5,55611.791383219956,55890.43083900227,278.63945578231505,0.5,3/4,u,2,12,0
G♯4,55890.43083900227,56099.410430839,208.97959183673083,0.5,3/4,b,2,12,0
A4,56099.410430839,56378.04988662131,278.6394557823078,0.5,3/4,b,2,12,0
F5,56378.04988662131,56517.36961451248,139.31972789116844,0.5,3/4,u,2,12,0
G♯4,56517.36961451248,56842.448979591834,325.07936507935665,0.5,3/4,B,2,13,0
F5,56842.448979591834,57237.188208616775,394.73922902494087,0.5,3/4,u,2,13,0
E5,57237.188208616775,57260.4081632653,23.219954648528073,0.5,3/4,u,2,13,0
F♯4,57260.4081632653,57492.60770975056,232.1995464852589,0.5,3/4,B,2,13,0
G4,57492.60770975056,57748.02721088435,255.41950113378698,0.5,3/4,B,2,13,0
E5,57748.02721088435,57957.00680272109,208.9795918367381,0.5,3/4,u,2,13,0
F♯4,57957.00680272109,58258.86621315192,301.85941043083585,0.5,3/4,B,2,14,0
E5,58258.86621315192,58444.62585034014,185.7596371882173,0.5,3/4,u,2,14,0
D5,58444.62585034014,58700.04535147393,255.41950113378698,0.5,3/4,u,2,14,0
E4,58700.04535147393,58885.80498866213,185.75963718820276,0.5,3/4,B,2,14,0
F4,58885.80498866213,59141.22448979592,255.41950113378698,0.5,3/4,B,2,14,0
D5,59141.22448979592,59443.08390022676,301.8594104308431,0.5,3/4,u,2,14,0
E4,59443.08390022676,59605.62358276644,162.53968253968196,0.25,3/4,B,2,15,0
D5,59605.62358276644,59721.723356009075,116.09977324263309,0.25,3/4,u,2,15,0
C5,59721.723356009075,59791.383219954645,69.65986394556967,0.25,3/4,u,2,15,0
B4,59791.383219954645,59907.48299319728,116.09977324263309,0.25,3/4,u,2,15,0
C5,59907.48299319728,60116.462585034016,208.9795918367381,0.5,3/4,u,2,15,0
