Note,Onset (ms),Offset (ms),Time_duration (ms),Score_duration,Time-Signature,Voice,Movement,Measure,Repeated
0,0,1416.4172335600906,1416.4172335600906,0,0,.,x,x,.
C5,1416.4172335600906,1741.4965986394557,325.07936507936506,0.5,4/4,b,1,1,0
E5,1741.4965986394557,1950.4761904761904,208.9795918367347,0.5,4/4,u,1,2,0
C5,1950.4761904761904,2089.795918367347,139.31972789115662,0.5,4/4,b,1,2,0
F5,2089.795918367347,2275.5555555555557,185.75963718820867,0.5,4/4,u,1,2,0
C5,2275.5555555555557,2438.0952380952385,162.53968253968287,0.5,4/4,b,1,2,0
G5,2438.0952380952385,2600.6349206349205,162.53968253968196,0.5,4/4,u,1,2,0
C5,2600.6349206349205,2739.954648526077,139.31972789115662,0.5,4/4,b,1,2,0
E5,2739.954648526077,2856.0544217687075,116.09977324263036,0.5,4/4,u,1,2,0
C5,2856.0544217687075,2995.374149659864,139.31972789115662,0.5,4/4,b,1,2,0
F5,2995.374149659864,3111.473922902494,116.09977324262991,0.5,4/4,u,1,3,0
C5,3111.473922902494,3227.573696145125,116.09977324263082,0.5,4/4,b,1,3,0
G5,3227.573696145125,3366.8934240362814,139.31972789115662,0.5,4/4,u,1,3,0
C5,3366.8934240362814,3482.9931972789113,116.09977324262991,0.5,4/4,b,1,3,0
A5,3482.9931972789113,3599.092970521542,116.09977324263082,0.5,4/4,u,1,3,0
C5,3599.092970521542,3715.1927437641725,116.09977324263036,0.5,4/4,b,1,3,0
G5,3715.1927437641725,3831.2925170068024,116.09977324262991,0.5,4/4,u,1,3,0
C5,3831.2925170068024,3970.6122448979595,139.31972789115707,0.5,4/4,b,1,3,0
A5,3970.6122448979595,4086.71201814059,116.09977324263036,0.5,4/4,u,1,4,0
C5,4086.71201814059,4202.81179138322,116.09977324263036,0.5,4/4,b,1,4,0
B5,4202.81179138322,4295.691609977324,92.87981859410411,0.5,4/4,u,1,4,0
C5,4295.691609977324,4365.351473922902,69.65986394557785,0.5,4/4,b,1,4,0
C6,4365.351473922902,4597.551020408163,232.19954648526073,0.5,4/4,u,1,4,0
C5,4597.551020408163,4736.8707482993195,139.31972789115662,0.5,4/4,x,1,4,0
E5,4736.8707482993195,4852.97052154195,116.09977324263036,0.5,4/4,x,1,4,0
G5,4852.97052154195,4992.2902494331065,139.31972789115662,0.5,4/4,x,1,4,0
C6,4992.2902494331065,5131.609977324263,139.31972789115662,0.5,4/4,x,1,5,0
C5,5131.609977324263,5270.929705215419,139.3197278911557,0.5,4/4,x,1,5,0
E5,5270.929705215419,5410.249433106575,139.31972789115662,0.5,4/4,x,1,5,0
G5,5410.249433106575,5619.22902494331,208.97959183673447,0.5,4/4,x,1,5,0
C6,5619.22902494331,6896.326530612245,1277.097505668935,1.0,4/4,x,1,5,0
0,6896.326530612245,8521.723356009072,1625.396825396827,1.0,4/4,.,1,5,0
0,8521.723356009072,8544.943310657596,23.219954648524435,0,0,.,x,x,.
C5,8544.943310657596,8568.163265306122,23.219954648526254,0.0,3/2,x,2,6,0
E5,8568.163265306122,9032.562358276644,464.39909297052145,0.0,3/2,x,2,6,0
G5,9032.562358276644,10286.43990929705,1253.8775510204068,3.0,3/2,x,2,6,0
A5,10286.43990929705,10820.49886621315,534.0589569161002,1.0,3/2,x,2,6,0
F5,10820.49886621315,11749.297052154194,928.7981859410429,2.0,3/2,x,2,6,0
G4,11749.297052154194,11911.836734693878,162.53968253968378,0.0,3/2,x,2,7,0
C5,11911.836734693878,12027.936507936507,116.09977324262945,0.0,3/2,x,2,7,0
E5,12027.936507936507,13885.532879818595,1857.5963718820876,3.0,3/2,x,2,7,0
F5,13885.532879818595,14442.81179138322,557.2789115646247,1.0,3/2,x,2,7,0
D5,14442.81179138322,15487.709750566893,1044.8979591836742,2.0,3/2,x,2,7,0
E4,15487.709750566893,15650.249433106575,162.53968253968196,0.0,3/2,x,2,8,0
G4,15650.249433106575,15812.78911564626,162.53968253968378,0.0,3/2,x,2,8,0
