Note,Onset (ms),Offset (ms),Time_duration (ms),Score_duration,Time-Signature,Voice,Movement,Measure,Repeated
0,0,1578.9569160997733,1578.9569160997733,0,0,.,x,x,.
E4,1578.9569160997733,3018.5941043083903,1439.637188208617,1.0,3/4,b,1,1,0
G♯5,3018.5941043083903,4388.571428571428,1369.977324263038,1.0,3/4,u,1,1,0
A5,4388.571428571428,5038.730158730159,650.1587301587306,0.75,3/4,x,1,1,0
B5,5038.730158730159,5410.249433106575,371.51927437641643,0.25,3/4,x,1,1,0
F♯4,5410.249433106575,6571.247165532879,1160.9977324263036,1.0,3/4,b,1,2,0
D♯5,6571.247165532879,7639.3650793650795,1068.1179138322004,1.0,3/4,x,1,2,0
E5,7639.3650793650795,8521.723356009072,882.3582766439922,0.75,3/4,x,1,2,0
F♯5,8521.723356009072,8800.362811791383,278.6394557823114,0.25,3/4,u,1,2,0
G♯4,8800.362811791383,9682.721088435374,882.3582766439904,0.75,3/4,b,1,3,0
B4,9682.721088435374,9961.360544217687,278.63945578231323,0.25,3/4,x,1,3,0
E5,9961.360544217687,10797.278911564625,835.9183673469379,0.75,3/4,x,1,3,0
D♯5,10797.278911564625,11075.918367346938,278.63945578231323,0.25,3/4,x,1,3,0
E5,11075.918367346938,12353.015873015875,1277.0975056689367,1.0,3/4,u,1,3,0
A4,12353.015873015875,13258.59410430839,905.5782312925148,0.75,3/4,x,1,4,0
C♯5,13258.59410430839,13490.79365079365,232.19954648526073,0.25,3/4,u,1,4,0
D♯4,13490.79365079365,14303.492063492064,812.6984126984134,0.75,3/4,b,1,4,0
B4,14303.492063492064,14814.331065759638,510.83900226757396,0.25,3/4,u,1,4,0
A4,14814.331065759638,15418.049886621315,603.7188208616772,0.75,3/4,x,1,4,0
G♯4,15418.049886621315,15510.92970521542,92.87981859410502,0.125,3/4,x,1,4,0
A4,15510.92970521542,15789.569160997733,278.63945578231323,0.125,3/4,u,1,4,0
E4,15789.569160997733,16579.04761904762,789.4784580498854,0.75,3/4,b,1,5,0
A4,16579.04761904762,16857.687074829933,278.63945578231505,0.25,3/4,x,1,5,0
G♯4,16857.687074829933,18065.124716553288,1207.4376417233543,1.0,3/4,u,1,5,0
0,18065.124716553288,19086.802721088436,1021.6780045351479,1.0,3/4,.,1,5,0
D♯4,19086.802721088436,20201.360544217685,1114.5578231292493,1.0,3/4,x,1,6,0
F♯4,20201.360544217685,21269.478458049885,1068.1179138322004,1.0,3/4,x,1,6,0
G♯4,21269.478458049885,22012.517006802722,743.0385487528365,0.75,3/4,x,1,6,0
A4,22012.517006802722,22337.596371882086,325.0793650793639,0.25,3/4,x,1,6,0
E4,22337.596371882086,23405.714285714286,1068.1179138322004,1.0,3/4,x,1,7,0
G♯4,23405.714285714286,24195.19274376417,789.4784580498854,0.75,3/4,x,1,7,0
F♯4,24195.19274376417,24427.392290249434,232.19954648526254,0.25,3/4,x,1,7,0
G♯4,24427.392290249434,25565.17006802721,1137.7777777777774,1.0,3/4,x,1,7,0
E4,25565.17006802721,26749.38775510204,1184.2176870748299,1.0,3/4,x,1,8,0
C♯5,26749.38775510204,27538.866213151927,789.4784580498854,0.75,3/4,x,1,8,0
B4,27538.866213151927,27863.94557823129,325.0793650793639,0.25,3/4,x,1,8,0
A♯4,27863.94557823129,28606.984126984127,743.0385487528365,0.75,3/4,x,1,8,0
B4,28606.984126984127,28955.283446712016,348.29931972788836,0.25,3/4,x,1,8,0
F♯4,28955.283446712016,29791.201814058957,835.9183673469415,0.75,3/4,x,1,9,0
B4,29791.201814058957,30116.28117913832,325.0793650793639,0.25,3/4,x,1,9,0
A♯4,30116.28117913832,31346.938775510203,1230.6575963718824,1.0,3/4,x,1,9,0
0,31346.938775510203,32345.396825396827,998.4580498866235,1.0,3/4,.,1,9,0
E5,32345.396825396827,33065.21541950114,719.8185941043121,0.5,3/4,u,1,10,0
G♯4,33065.21541950114,33785.03401360544,719.8185941042975,0.5,3/4,b,1,10,0
D♯5,33785.03401360544,34133.333333333336,348.2993197278993,0.5,3/4,u,1,10,0
F♯4,34133.333333333336,34620.95238095238,487.6190476190459,0.5,3/4,b,1,10,0
C♯5,34620.95238095238,35155.01133786848,534.0589569160948,0.5,3/4,u,1,10,0
E4,35155.01133786848,35805.17006802721,650.1587301587351,0.5,3/4,b,1,10,0
D♯4,35805.17006802721,36524.988662131516,719.8185941043048,0.5,3/4,b,1,11,0
F♯5,36524.988662131516,37662.7664399093,1137.777777777781,1.0,3/4,x,1,11,0
E5,37662.7664399093,38196.8253968254,534.058956916102,0.5,3/4,x,1,11,0
D♯5,38196.8253968254,38591.56462585034,394.73922902494087,0.3333333333333333,3/4,x,1,11,0
C♯5,38591.56462585034,38870.20408163265,278.6394557823078,0.3333333333333333,3/4,x,1,11,0
B4,38870.20408163265,39148.84353741497,278.63945578232233,0.3333333333333333,3/4,x,1,11,0
C♯5,39148.84353741497,39915.10204081633,766.2585034013609,0.75,3/4,x,1,12,0
E4,39915.10204081633,40170.52154195012,255.41950113378698,0.25,3/4,x,1,12,0
F♯4,40170.52154195012,41168.97959183674,998.4580498866198,1.0,3/4,x,1,12,0
A♯4,41168.97959183674,41192.199546485266,23.219954648528073,0.75,3/4,x,1,12,0
B4,41192.199546485266,44651.97278911564,3459.7732426303774,0.25,3/4,x,1,12,0
B4,44651.97278911564,44675.19274376417,23.219954648528073,2.0,3/4,x,1,13,0
0,44675.19274376417,45929.07029478458,1253.8775510204068,1.0,3/4,.,1,13,0
E4,45929.07029478458,47229.38775510204,1300.317460317463,1.0,3/4,b,1,1,1
G♯5,47229.38775510204,48552.92517006803,1323.537414965991,1.0,3/4,u,1,1,1
A5,48552.92517006803,49597.8231292517,1044.8979591836687,0.75,3/4,x,1,1,1
B5,49597.8231292517,49806.80272108844,208.9795918367381,0.25,3/4,x,1,1,1
F♯4,49806.80272108844,50991.02040816327,1184.2176870748299,1.0,3/4,b,1,2,1
D♯5,50991.02040816327,52082.358276643994,1091.3378684807249,1.0,3/4,x,1,2,1
E5,52082.358276643994,52964.71655328799,882.358276643994,0.75,3/4,x,1,2,1
F♯5,52964.71655328799,53196.91609977324,232.19954648525163,0.25,3/4,u,1,2,1
G♯4,53196.91609977324,54009.61451247166,812.6984126984171,0.75,3/4,b,1,3,1
B4,54009.61451247166,54288.25396825397,278.63945578231505,0.25,3/4,x,1,3,1
E5,54288.25396825397,55100.95238095238,812.6984126984098,0.75,3/4,x,1,3,1
D♯5,55100.95238095238,55402.811791383225,301.8594104308431,0.25,3/4,x,1,3,1
