Note,Onset (ms),Offset (ms),Time_duration (ms),Score_duration,Time-Signature,Voice,Movement,Measure,Repeated
0,0,603.7188208616781,603.7188208616781,0,0,.,x,x,.
A4,603.7188208616781,1509.2970521541952,905.5782312925171,1.25,4/4,x,1,1,0
B4,1509.2970521541952,1764.716553287982,255.41950113378675,0.25,4/4,x,1,1,0
A4,1764.716553287982,1857.5963718820863,92.87981859410434,0.25,4/4,x,1,1,0
E4,1857.5963718820863,2020.136054421769,162.53968253968264,0.25,4/4,x,1,1,0
A4,2020.136054421769,2113.0158730158732,92.87981859410434,0.25,4/4,x,1,1,0
C♯5,2113.0158730158732,2205.8956916099773,92.87981859410411,0.25,4/4,x,1,1,0
A4,2205.8956916099773,2321.9954648526077,116.09977324263036,0.25,4/4,x,1,1,0
E4,2321.9954648526077,2391.655328798186,69.65986394557831,0.25,4/4,x,1,1,0
A4,2391.655328798186,2507.7551020408164,116.09977324263036,0.25,4/4,x,1,1,0
B4,2507.7551020408164,2600.6349206349205,92.87981859410411,0.25,4/4,x,1,1,0
A4,2600.6349206349205,2693.514739229025,92.87981859410456,0.25,4/4,x,1,1,0
E4,2693.514739229025,2786.394557823129,92.87981859410411,0.25,4/4,x,1,1,0
A4,2786.394557823129,2879.2743764172333,92.87981859410411,0.25,4/4,x,1,2,0
C♯5,2879.2743764172333,2972.154195011338,92.87981859410456,0.25,4/4,x,1,2,0
A4,2972.154195011338,3088.2539682539687,116.09977324263082,0.25,4/4,x,1,2,0
E4,3088.2539682539687,3134.6938775510203,46.4399092970516,0.25,4/4,x,1,2,0
A4,3134.6938775510203,3274.013605442177,139.31972789115662,0.25,4/4,x,1,2,0
E5,3274.013605442177,3413.3333333333335,139.31972789115662,0.25,4/4,x,1,2,0
A4,3413.3333333333335,3482.9931972789113,69.65986394557785,0.25,4/4,x,1,2,0
E4,3482.9931972789113,3575.873015873016,92.87981859410456,0.25,4/4,x,1,2,0
A4,3575.873015873016,3715.1927437641725,139.31972789115662,0.25,4/4,x,1,2,0
E5,3715.1927437641725,3808.0725623582766,92.87981859410411,0.25,4/4,x,1,2,0
F♯5,3808.0725623582766,3900.9523809523807,92.87981859410411,0.25,4/4,x,1,2,0
D5,3900.9523809523807,3947.3922902494332,46.43990929705251,0.25,4/4,x,1,2,0
E5,3947.3922902494332,3970.6122448979595,23.219954648526254,0.25,4/4,x,1,2,0
C♯5,3970.6122448979595,3993.8321995464853,23.2199546485258,0.25,4/4,x,1,2,0
D5,3993.8321995464853,4017.052154195011,23.2199546485258,0.25,4/4,x,1,2,0
B4,4017.052154195011,4040.272108843538,23.21995464852671,0.25,4/4,x,1,2,0
C♯5,4040.272108843538,4063.492063492063,23.219954648525345,0.25,4/4,x,1,3,0
E5,4063.492063492063,4086.71201814059,23.21995464852671,0.25,4/4,x,1,3,0
F♯5,4086.71201814059,4109.931972789115,23.219954648525345,0.25,4/4,x,1,3,0
D5,4109.931972789115,4133.151927437642,23.219954648527164,0.25,4/4,x,1,3,0
E5,4133.151927437642,4156.371882086168,23.219954648525345,0.25,4/4,x,1,3,0
C♯5,4156.371882086168,4179.591836734694,23.219954648526254,0.25,4/4,x,1,3,0
D5,4179.591836734694,4226.0317460317465,46.43990929705251,0.25,4/4,x,1,3,0
B4,4226.0317460317465,4249.251700680272,23.219954648525345,0.25,4/4,x,1,3,0
C♯5,4249.251700680272,4272.471655328798,23.219954648526254,0.25,4/4,x,1,3,0
A4,4272.471655328798,4295.691609977324,23.219954648526254,0.25,4/4,x,1,3,0
B4,4295.691609977324,4318.91156462585,23.219954648525345,0.25,4/4,x,1,3,0
C♯5,4318.91156462585,4342.131519274377,23.219954648527164,0.25,4/4,x,1,3,0
D5,4342.131519274377,4365.351473922902,23.219954648525345,0.25,4/4,x,1,3,0
E5,4365.351473922902,4388.571428571428,23.219954648526254,0.25,4/4,x,1,3,0
F♯5,4388.571428571428,4411.791383219955,23.219954648526254,0.25,4/4,x,1,3,0
G♯5,4411.791383219955,4435.011337868481,23.219954648526254,0.25,4/4,x,1,3,0
A5,4435.011337868481,4458.231292517006,23.219954648525345,0.25,4/4,x,1,4,0
E5,4458.231292517006,4481.4512471655335,23.219954648527164,0.25,4/4,x,1,4,0
C♯5,4481.4512471655335,4504.671201814059,23.219954648525345,0.25,4/4,x,1,4,0
A4,4504.671201814059,4527.891156462585,23.219954648526254,0.25,4/4,x,1,4,0
A5,4527.891156462585,4551.111111111111,23.219954648526254,0.25,4/4,x,1,4,0
E5,4551.111111111111,4574.331065759637,23.219954648525345,0.25,4/4,x,1,4,0
C♯5,4574.331065759637,4597.551020408163,23.219954648526254,0.25,4/4,x,1,4,0
A4,4597.551020408163,4620.770975056689,23.219954648526254,0.25,4/4,x,1,4,0
A5,4620.770975056689,4643.990929705215,23.219954648526254,0.5,4/4,x,1,4,0
A4,4643.990929705215,4667.210884353741,23.219954648525345,0.5,4/4,B,1,4,0
0,4667.210884353741,8266.303854875285,3599.092970521544,1.0,4/4,.,1,4,0
D5,8266.303854875285,8521.723356009072,255.41950113378698,0.25,4/4,x,1,5,0
C♯5,8521.723356009072,8544.943310657596,23.219954648524435,0.25,4/4,x,1,5,0
D5,8544.943310657596,9496.961451247165,952.0181405895692,1.5,4/4,x,1,5,0
F♯5,9496.961451247165,9589.841269841269,92.8798185941032,0.25,4/4,x,1,5,0
D5,9589.841269841269,10147.120181405895,557.2789115646265,0.75,4/4,x,1,5,0
A5,10147.120181405895,10286.43990929705,139.3197278911557,0.25,4/4,x,1,5,0
D5,10286.43990929705,10866.938775510205,580.4988662131545,0.75,4/4,x,1,5,0
C♯5,10866.938775510205,10913.378684807256,46.43990929705069,0.25,4/4,x,1,6,0
B4,10913.378684807256,11006.258503401361,92.87981859410502,0.25,4/4,x,1,6,0
C♯5,11006.258503401361,11958.27664399093,952.0181405895692,1.5,4/4,x,1,6,0
E5,11958.27664399093,12283.356009070294,325.0793650793639,0.25,4/4,x,1,6,0
C♯5,12283.356009070294,12561.995464852607,278.63945578231323,0.75,4/4,x,1,6,0
A5,12561.995464852607,12840.63492063492,278.63945578231323,0.25,4/4,x,1,6,0
C♯5,12840.63492063492,13397.913832199545,557.2789115646247,0.75,4/4,x,1,6,0
D4,13397.913832199545,13676.553287981858,278.63945578231323,0.25,4/4,B,1,7,0
C♯5,13676.553287981858,13815.873015873016,139.31972789115753,0.25,4/4,x,1,7,0
B4,13815.873015873016,13931.972789115645,116.09977324262945,0.25,4/4,x,1,7,0
A4,13931.972789115645,14048.072562358277,116.09977324263127,0.25,4/4,x,1,7,0
F♯5,14048.072562358277,14210.612244897959,162.53968253968196,0.25,4/4,x,1,7,0
C♯5,14210.612244897959,14326.71201814059,116.09977324263127,0.25,4/4,x,1,7,0
B4,14326.71201814059,14466.031746031746,139.3197278911557,0.25,4/4,x,1,7,0
A4,14466.031746031746,14582.131519274377,116.09977324263127,0.25,4/4,x,1,7,0
D4,14582.131519274377,14721.451247165533,139.3197278911557,0.25,4/4,B,1,7,0
C♯5,14721.451247165533,14860.77097505669,139.31972789115753,0.25,4/4,x,1,7,0
B4,14860.77097505669,14953.650793650795,92.87981859410502,0.25,4/4,x,1,7,0
A4,14953.650793650795,15069.750566893425,116.09977324262945,0.25,4/4,x,1,7,0
F♯5,15069.750566893425,15232.290249433107,162.53968253968196,0.25,4/4,x,1,7,0
C♯5,15232.290249433107,15325.17006802721,92.8798185941032,0.25,4/4,x,1,7,0
B4,15325.17006802721,15418.049886621315,92.87981859410502,0.25,4/4,x,1,7,0
A4,15418.049886621315,15557.369614512472,139.31972789115753,0.25,4/4,x,1,7,0
D♯4,15557.369614512472,15696.689342403628,139.3197278911557,0.25,4/4,B,1,8,0
C♯5,15696.689342403628,15812.78911564626,116.09977324263127,0.25,4/4,x,1,8,0
B4,15812.78911564626,15905.668934240364,92.87981859410502,0.25,4/4,x,1,8,0
A4,15905.668934240364,15998.548752834466,92.87981859410138,0.25,4/4,x,1,8,0
A5,15998.548752834466,16161.088435374151,162.5396825396856,0.25,4/4,x,1,8,0
C♯5,16161.088435374151,16253.968253968253,92.87981859410138,0.25,4/4,x,1,8,0
B4,16253.968253968253,16323.628117913831,69.65986394557876,0.25,4/4,x,1,8,0
A4,16323.628117913831,16462.94784580499,139.31972789115753,0.25,4/4,x,1,8,0
D♯4,16462.94784580499,16579.04761904762,116.09977324262945,0.25,4/4,B,1,8,0
C♯5,16579.04761904762,16671.927437641723,92.87981859410502,0.25,4/4,x,1,8,0
B4,16671.927437641723,16788.027210884356,116.09977324263309,0.25,4/4,x,1,8,0
A4,16788.027210884356,16880.907029478458,92.87981859410138,0.25,4/4,x,1,8,0
A5,16880.907029478458,17043.446712018143,162.5396825396856,0.25,4/4,x,1,8,0
C♯5,17043.446712018143,17089.886621315192,46.43990929704887,0.25,4/4,x,1,8,0
B4,17089.886621315192,17182.766439909297,92.87981859410502,0.25,4/4,x,1,8,0
A4,17182.766439909297,17322.086167800455,139.31972789115753,0.25,4/4,x,1,8,0
E4,17322.086167800455,17461.40589569161,139.3197278911539,0.25,4/4,x,1,9,0
G♯4,17461.40589569161,17484.625850340137,23.219954648528073,0.25,4/4,x,1,9,0
B4,17484.625850340137,17507.84580498866,23.219954648524435,0.25,4/4,x,1,9,0
G♯4,17507.84580498866,17554.285714285714,46.43990929705251,0.25,4/4,x,1,9,0
E5,17554.285714285714,17577.50566893424,23.219954648524435,0.25,4/4,x,1,9,0
B4,17577.50566893424,17600.725623582766,23.219954648528073,0.25,4/4,x,1,9,0
G♯5,17600.725623582766,17623.945578231294,23.219954648528073,0.25,4/4,x,1,9,0
E5,17623.945578231294,17647.16553287982,23.219954648524435,0.25,4/4,x,1,9,0
E4,17647.16553287982,17670.385487528347,23.219954648528073,0.25,4/4,x,1,9,0
A4,17670.385487528347,17693.60544217687,23.219954648524435,0.25,4/4,x,1,9,0
C♯5,17693.60544217687,17716.825396825396,23.219954648524435,0.25,4/4,x,1,9,0
A4,17716.825396825396,17740.045351473924,23.219954648528073,0.25,4/4,x,1,9,0
E5,17740.045351473924,17763.26530612245,23.219954648524435,0.25,4/4,x,1,9,0
C♯5,17763.26530612245,17786.485260770973,23.219954648524435,0.25,4/4,x,1,9,0
A5,17786.485260770973,17809.7052154195,23.219954648528073,0.25,4/4,x,1,9,0
E5,17809.7052154195,17832.925170068025,23.219954648524435,0.25,4/4,x,1,9,0
E4,17832.925170068025,17856.145124716553,23.219954648528073,0.25,4/4,x,1,10,0
G♯4,17856.145124716553,17879.36507936508,23.219954648528073,0.25,4/4,x,1,10,0
B4,17879.36507936508,17902.585034013606,23.219954648524435,0.25,4/4,x,1,10,0
G♯4,17902.585034013606,17925.804988662134,23.219954648528073,0.25,4/4,x,1,10,0
E5,17925.804988662134,17949.02494331066,23.219954648524435,0.25,4/4,x,1,10,0
B4,17949.02494331066,17972.244897959183,23.219954648524435,0.25,4/4,x,1,10,0
G♯5,17972.244897959183,17995.46485260771,23.219954648528073,0.25,4/4,x,1,10,0
E5,17995.46485260771,18018.684807256235,23.219954648524435,0.25,4/4,x,1,10,0
B5,18018.684807256235,18041.90476190476,23.219954648524435,0.5,4/4,x,1,10,0
E4,18041.90476190476,18065.124716553288,23.219954648528073,0.5,4/4,B,1,10,0
0,18065.124716553288,21269.478458049885,3204.3537414965976,1.0,4/4,.,1,10,0
0,21269.478458049885,21292.698412698413,23.219954648528073,0,0,.,x,x,.
A4,21292.698412698413,21896.41723356009,603.7188208616753,1.0,4/4,u,2,11,0
D5,21896.41723356009,22500.13605442177,603.7188208616826,1.0,4/4,u,2,11,0
C♯5,22500.13605442177,23127.074829931975,626.9387755102034,1.0,4/4,u,2,11,0
F♯5,23127.074829931975,23707.573696145126,580.4988662131509,1.0,4/4,u,2,11,0
D5,23707.573696145126,24009.433106575965,301.8594104308395,0.5,4/4,u,2,12,0
B4,24009.433106575965,24288.072562358277,278.6394557823114,0.5,4/4,u,2,12,0
E5,24288.072562358277,24566.712018140588,278.6394557823114,0.5,4/4,u,2,12,0
E4,24566.712018140588,24868.571428571428,301.8594104308395,0.5,4/4,s,2,12,0
A4,24868.571428571428,25147.21088435374,278.6394557823114,0.5,4/4,u,2,12,0
C♯5,25147.21088435374,25425.850340136054,278.63945578231505,0.5,4/4,u,2,12,0
B4,25425.850340136054,25704.489795918365,278.6394557823114,0.5,4/4,u,2,12,0
A4,25704.489795918365,26029.56916099773,325.0793650793639,0.5,4/4,u,2,12,0
E5,26029.56916099773,26354.648526077097,325.07936507936756,0.5,4/4,u,2,13,0
G♯4,26354.648526077097,26633.287981859412,278.63945578231505,0.5,4/4,b,2,13,0
A5,26633.287981859412,26958.367346938776,325.0793650793639,0.5,4/4,u,2,13,0
F♯4,26958.367346938776,27190.56689342404,232.19954648526254,0.5,4/4,B,2,13,0
G♯5,27190.56689342404,27515.646258503402,325.0793650793639,0.5,4/4,u,2,13,0
E4,27515.646258503402,27771.06575963719,255.41950113378698,0.5,4/4,B,2,13,0
C♯6,27771.06575963719,28026.485260770976,255.41950113378698,0.5,4/4,u,2,13,0
A4,28026.485260770976,28351.56462585034,325.0793650793639,0.5,4/4,B,2,13,0
A5,28351.56462585034,28606.984126984127,255.41950113378698,0.5,4/4,u,2,14,0
F♯5,28606.984126984127,28885.62358276644,278.6394557823114,0.5,4/4,u,2,14,0
B5,28885.62358276644,29141.043083900226,255.41950113378698,0.5,4/4,u,2,14,0
B4,29141.043083900226,29396.462585034013,255.41950113378698,0.5,4/4,s,2,14,0
E5,29396.462585034013,29651.8820861678,255.41950113378698,0.5,4/4,u,2,14,0
G♯4,29651.8820861678,29930.521541950115,278.63945578231505,0.5,4/4,b,2,14,0
C♯5,29930.521541950115,30185.9410430839,255.41950113378698,0.5,4/4,b,2,14,0
B4,30185.9410430839,30418.140589569164,232.19954648526254,0.5,4/4,b,2,14,0
A♯4,30418.140589569164,30696.780045351476,278.6394557823114,0.5,4/4,b,2,15,0
E5,30696.780045351476,30766.439909297053,69.65986394557694,0.25,4/4,u,2,15,0
F♯5,30766.439909297053,30836.09977324263,69.65986394557694,0.125,4/4,u,2,15,0
G5,30836.09977324263,30952.199546485263,116.09977324263309,0.125,4/4,u,2,15,0
F♯5,30952.199546485263,31230.839002267574,278.6394557823114,0.5,4/4,u,2,15,0
E5,31230.839002267574,31509.47845804989,278.63945578231505,0.5,4/4,u,2,15,0
D5,31509.47845804989,31788.1179138322,278.6394557823114,0.5,4/4,u,2,15,0
F♯4,31788.1179138322,32043.53741496599,255.41950113379062,0.5,4/4,b,2,15,0
B4,32043.53741496599,32322.176870748302,278.6394557823114,0.5,4/4,b,2,15,0
A4,32322.176870748302,32600.816326530614,278.6394557823114,0.5,4/4,b,2,15,0
G♯4,32600.816326530614,32856.2358276644,255.41950113378698,0.5,4/4,b,2,16,0
D5,32856.2358276644,32879.45578231292,23.219954648520797,0.25,4/4,u,2,16,0
E5,32879.45578231292,33158.09523809524,278.63945578231505,0.125,4/4,u,2,16,0
F♯5,33158.09523809524,33227.755102040814,69.65986394557694,0.125,4/4,u,2,16,0
E5,33227.755102040814,33320.634920634926,92.8798185941123,0.5,4/4,u,2,16,0
D5,33320.634920634926,33692.15419501134,371.5192743764128,0.5,4/4,u,2,16,0
C♯5,33692.15419501134,33808.25396825397,116.09977324263309,0.5,4/4,u,2,16,0
G4,33808.25396825397,33854.69387755102,46.43990929704887,0.25,4/4,b,2,16,0
A4,33854.69387755102,33947.573696145126,92.87981859410502,0.125,4/4,b,2,16,0
B4,33947.573696145126,34086.89342403629,139.31972789116116,0.125,4/4,b,2,16,0
A4,34086.89342403629,34295.87301587301,208.97959183672356,0.5,4/4,b,2,16,0
G4,34295.87301587301,34597.73242630385,301.8594104308431,0.5,4/4,b,2,16,0
D5,34597.73242630385,34876.37188208617,278.63945578231505,0.5,4/4,u,2,17,0
F♯4,34876.37188208617,35155.01133786848,278.6394557823078,0.5,4/4,B,2,17,0
G5,35155.01133786848,35433.65079365079,278.63945578231505,0.5,4/4,u,2,17,0
E4,35433.65079365079,35735.510204081635,301.8594104308431,0.5,4/4,B,2,17,0
F♯5,35735.510204081635,36130.249433106575,394.73922902494087,0.5,4/4,u,2,17,0
D4,36130.249433106575,36269.56916099774,139.31972789116116,0.5,4/4,B,2,17,0
B5,36269.56916099774,36524.988662131516,255.4195011337797,0.5,4/4,u,2,17,0
G4,36524.988662131516,36803.62811791383,278.63945578231505,0.5,4/4,B,2,17,0
G5,36803.62811791383,37082.26757369615,278.63945578231505,0.5,4/4,u,2,18,0
E5,37082.26757369615,37337.687074829926,255.4195011337797,0.5,4/4,u,2,18,0
A5,37337.687074829926,37593.10657596371,255.41950113378698,0.5,4/4,u,2,18,0
A4,37593.10657596371,38011.06575963719,417.9591836734762,0.5,4/4,s,2,18,0
D4,38011.06575963719,38220.04535147392,208.97959183673083,0.25,4/4,b,2,18,0
D5,38220.04535147392,38568.34467120181,348.299319727892,0.25,4/4,m,2,18,0
C♯5,38568.34467120181,38614.78458049886,46.43990929704887,0.25,4/4,m,2,18,0
D5,38614.78458049886,38638.0045351474,23.21995464853535,0.25,4/4,m,2,18,0
F♯5,38638.0045351474,38777.32426303855,139.3197278911539,0.25,4/4,m,2,18,0
D5,38777.32426303855,39079.183673469386,301.85941043083585,0.25,4/4,m,2,18,0
C♯5,39079.183673469386,39148.84353741497,69.65986394558422,0.25,4/4,m,2,18,0
D5,39148.84353741497,39195.28344671202,46.43990929704887,0.25,4/4,m,2,18,0
D4,39195.28344671202,39357.8231292517,162.53968253968196,0.25,4/4,B,2,19,0
D5,39357.8231292517,39450.702947845806,92.87981859410502,0.25,4/4,m,2,19,0
C♯5,39450.702947845806,39520.36281179138,69.65986394557694,0.25,4/4,m,2,19,0
D5,39520.36281179138,39682.902494331065,162.53968253968196,0.25,4/4,m,2,19,0
A5,39682.902494331065,39845.44217687075,162.53968253968196,0.25,4/4,u,2,19,0
D5,39845.44217687075,39938.32199546485,92.87981859410502,0.25,4/4,m,2,19,0
C♯5,39938.32199546485,39984.7619047619,46.43990929704887,0.25,4/4,m,2,19,0
D5,39984.7619047619,40193.74149659864,208.9795918367381,0.25,4/4,m,2,19,0
A4,40193.74149659864,40333.06122448979,139.3197278911539,0.25,4/4,b,2,19,0
C♯5,40333.06122448979,40425.941043083905,92.8798185941123,0.25,4/4,m,2,19,0
B4,40425.941043083905,40611.70068027211,185.75963718820276,0.25,4/4,m,2,19,0
C♯5,40611.70068027211,40658.140589569164,46.43990929705615,0.25,4/4,m,2,19,0
E5,40658.140589569164,40797.46031746032,139.3197278911539,0.25,4/4,m,2,19,0
C♯5,40797.46031746032,40867.120181405895,69.65986394557694,0.25,4/4,m,2,19,0
B4,40867.120181405895,41076.09977324263,208.9795918367381,0.25,4/4,m,2,19,0
C♯5,41076.09977324263,41099.319727891154,23.219954648520797,0.25,4/4,m,2,19,0
A4,41099.319727891154,41261.859410430836,162.53968253968196,0.25,4/4,b,2,20,0
C♯5,41261.859410430836,41308.29931972789,46.43990929705615,0.25,4/4,m,2,20,0
B4,41308.29931972789,41494.0589569161,185.75963718821004,0.25,4/4,m,2,20,0
C♯5,41494.0589569161,41563.71882086168,69.65986394557694,0.25,4/4,m,2,20,0
A5,41563.71882086168,41633.378684807256,69.65986394557694,0.25,4/4,u,2,20,0
C♯5,41633.378684807256,41726.25850340136,92.87981859410502,0.25,4/4,m,2,20,0
B4,41726.25850340136,41865.578231292515,139.3197278911539,0.25,4/4,m,2,20,0
C♯5,41865.578231292515,41935.2380952381,69.65986394558422,0.25,4/4,m,2,20,0
G♯4,41935.2380952381,42097.77777777778,162.53968253968196,0.25,4/4,b,2,20,0
D5,42097.77777777778,42237.097505668935,139.3197278911539,0.25,4/4,m,2,20,0
C♯5,42237.097505668935,42260.31746031746,23.219954648528073,0.25,4/4,m,2,20,0
D5,42260.31746031746,42399.63718820862,139.3197278911539,0.25,4/4,m,2,20,0
E5,42399.63718820862,42492.51700680272,92.87981859410502,0.25,4/4,m,2,20,0
D5,42492.51700680272,42747.93650793651,255.41950113378698,0.25,4/4,m,2,20,0
C♯5,42747.93650793651,42817.59637188209,69.65986394558422,0.25,4/4,m,2,20,0
D5,42817.59637188209,42840.816326530614,23.219954648520797,0.25,4/4,m,2,20,0
E4,42840.816326530614,42887.25623582766,46.43990929704887,0.25,4/4,B,2,21,0
D5,42887.25623582766,43003.356009070296,116.09977324263309,0.25,4/4,m,2,21,0
C♯5,43003.356009070296,43026.57596371882,23.219954648520797,0.25,4/4,m,2,21,0
D5,43026.57596371882,43142.67573696145,116.09977324263309,0.25,4/4,m,2,21,0
B5,43142.67573696145,43305.21541950113,162.53968253968196,0.25,4/4,u,2,21,0
D5,43305.21541950113,43630.2947845805,325.0793650793712,0.25,4/4,m,2,21,0
C♯5,43630.2947845805,43653.514739229024,23.219954648520797,0.25,4/4,m,2,21,0
D5,43653.514739229024,43769.61451247166,116.09977324263309,0.25,4/4,m,2,21,0
A4,43769.61451247166,44094.69387755102,325.0793650793639,0.5,4/4,B,2,21,0
C♯6,44094.69387755102,44350.11337868481,255.41950113378698,0.5,4/4,u,2,21,0
D5,44350.11337868481,44605.532879818595,255.41950113378698,0.5,4/4,b,2,21,0
B5,44605.532879818595,44907.39229024943,301.85941043083585,0.5,4/4,u,2,21,0
C♯5,44907.39229024943,45093.15192743764,185.75963718821004,0.5,4/4,b,2,22,0
A5,45093.15192743764,45348.57142857143,255.41950113378698,0.5,4/4,u,2,22,0
F♯5,45348.57142857143,45557.551020408166,208.9795918367381,0.5,4/4,b,2,22,0
A5,45557.551020408166,45859.41043083901,301.8594104308431,0.5,4/4,u,2,22,0
D5,45859.41043083901,45952.29024943311,92.87981859409774,0.25,4/4,b,2,22,0
F♯5,45952.29024943311,46091.60997732426,139.3197278911539,0.25,4/4,u,2,22,0
B4,46091.60997732426,46184.489795918365,92.87981859410502,0.25,4/4,b,2,22,0
D5,46184.489795918365,46300.589569161,116.09977324263309,0.25,4/4,u,2,22,0
E5,46300.589569161,46416.68934240363,116.09977324263309,0.25,4/4,b,2,22,0
G♯5,46416.68934240363,46556.009070294785,139.3197278911539,0.25,4/4,u,2,22,0
E4,46556.009070294785,46648.88888888889,92.87981859410502,0.25,4/4,B,2,22,0
D5,46648.88888888889,46764.98866213152,116.09977324263309,0.25,4/4,u,2,22,0
A4,46764.98866213152,46904.30839002268,139.3197278911539,0.25,4/4,b,2,23,0
D5,46904.30839002268,47066.84807256236,162.53968253968196,0.25,4/4,u,2,23,0
