Note,Onset (ms),Offset (ms),Time_duration (ms),Score_duration,Time-Signature,Voice,Movement,Measure,Repeated
0,0,580.4988662131519,580.4988662131519,0,0,.,x,x,.
E5,580.4988662131519,1648.6167800453516,1068.1179138321995,0.5,4/4,u,1,1,0
E4,1648.6167800453516,2066.575963718821,417.9591836734696,0.25,4/4,B,1,1,0
F♯4,2066.575963718821,2414.8752834467123,348.2993197278911,0.25,4/4,B,1,1,0
G4,2414.8752834467123,2879.2743764172333,464.399092970521,0.25,4/4,b,1,1,0
E5,2879.2743764172333,3181.1337868480723,301.85941043083903,0.25,4/4,u,1,1,0
A4,3181.1337868480723,4017.052154195011,835.9183673469388,0.25,4/4,b,1,1,0
E5,4017.052154195011,4040.272108843538,23.21995464852671,0.25,4/4,u,1,1,0
B4,4040.272108843538,4504.671201814059,464.399092970521,0.25,4/4,b,1,1,0
E5,4504.671201814059,4783.310657596372,278.63945578231323,0.25,4/4,u,1,1,0
D♯5,4783.310657596372,5549.569160997732,766.25850340136,0.5,4/4,u,1,1,0
0,5549.569160997732,5596.009070294785,46.43990929705251,0.5,4/4,.,1,1,0
D♯5,5596.009070294785,6339.047619047619,743.0385487528347,0.25,4/4,x,1,1,0
E5,6339.047619047619,6803.446712018141,464.39909297052145,0.25,4/4,x,1,1,0
F♯5,6803.446712018141,7151.746031746032,348.2993197278911,0.25,4/4,x,1,2,0
B4,7151.746031746032,7569.705215419501,417.95918367346894,0.25,4/4,b,1,2,0
A4,7569.705215419501,7987.664399092971,417.95918367346985,0.25,4/4,b,1,2,0
C6,7987.664399092971,8359.183673469388,371.51927437641734,0.25,4/4,u,1,2,0
G4,8359.183673469388,8753.92290249433,394.7392290249427,0.25,4/4,B,1,2,0
B5,8753.92290249433,9102.222222222223,348.299319727892,0.25,4/4,u,1,2,0
F♯4,9102.222222222223,9496.961451247165,394.7392290249427,0.25,4/4,B,1,2,0
A5,9496.961451247165,9984.580498866213,487.6190476190477,0.25,4/4,u,1,2,0
E4,9984.580498866213,10611.519274376418,626.9387755102052,0.25,4/4,B,1,2,0
G5,10611.519274376418,10750.839002267574,139.3197278911557,0.125,4/4,u,1,2,0
F♯5,10750.839002267574,10913.378684807256,162.53968253968196,0.125,4/4,u,1,2,0
E5,10913.378684807256,11656.417233560092,743.0385487528365,0.5,4/4,u,1,2,0
0,11656.417233560092,12190.476190476189,534.0589569160966,0.25,4/4,.,1,2,0
F♯5,12190.476190476189,12654.875283446712,464.39909297052327,0.25,4/4,x,1,2,0
G5,12654.875283446712,13026.39455782313,371.51927437641825,0.25,4/4,x,1,2,0
B4,13026.39455782313,13514.013605442176,487.6190476190459,0.25,4/4,x,1,2,0
C5,13514.013605442176,14001.632653061224,487.6190476190477,0.25,4/4,x,1,3,0
A5,14001.632653061224,14373.15192743764,371.51927437641643,0.25,4/4,x,1,3,0
F♯5,14373.15192743764,14698.231292517006,325.07936507936574,0.25,4/4,x,1,3,0
G5,14698.231292517006,15046.530612244896,348.2993197278902,0.25,4/4,x,1,3,0
B4,15046.530612244896,15510.92970521542,464.39909297052327,0.25,4/4,x,1,3,0
D6,15510.92970521542,15836.009070294784,325.0793650793639,0.25,4/4,x,1,3,0
F♯5,15836.009070294784,16230.748299319728,394.7392290249445,0.25,4/4,x,1,3,0
G5,16230.748299319728,16741.5873015873,510.83900226757214,0.25,4/4,x,1,3,0
C5,16741.5873015873,17205.98639455782,464.39909297052145,0.25,4/4,x,1,3,0
A5,17205.98639455782,17484.625850340137,278.63945578231505,0.25,4/4,x,1,3,0
F♯5,17484.625850340137,17809.7052154195,325.0793650793639,0.25,4/4,x,1,3,0
G5,17809.7052154195,18158.004535147393,348.299319727892,0.25,4/4,x,1,3,0
B4,18158.004535147393,18599.183673469386,441.1791383219934,0.25,4/4,x,1,3,0
D6,18599.183673469386,18993.92290249433,394.7392290249445,0.25,4/4,x,1,3,0
F♯5,18993.92290249433,19365.442176870747,371.51927437641643,0.25,4/4,x,1,3,0
G5,19365.442176870747,19760.18140589569,394.7392290249445,0.25,4/4,x,1,3,0
A4,19760.18140589569,20247.800453514737,487.6190476190459,0.25,4/4,B,1,4,0
C6,20247.800453514737,20549.659863945577,301.8594104308395,0.25,4/4,x,1,4,0
F♯4,20549.659863945577,20851.519274376416,301.8594104308395,0.25,4/4,B,1,4,0
C6,20851.519274376416,21223.038548752837,371.51927437642007,0.25,4/4,x,1,4,0
G4,21223.038548752837,21571.337868480725,348.29931972788836,0.25,4/4,B,1,4,0
B5,21571.337868480725,21873.197278911564,301.8594104308395,0.25,4/4,x,1,4,0
C♯5,21873.197278911564,22267.93650793651,394.7392290249445,0.25,4/4,x,1,4,0
B5,22267.93650793651,22801.995464852607,534.0589569160984,0.25,4/4,x,1,4,0
D5,22801.995464852607,23057.414965986398,255.41950113379062,0.25,4/4,x,1,4,0
B5,23057.414965986398,23545.03401360544,487.61904761904225,0.25,4/4,x,1,4,0
A5,23545.03401360544,24520.27210884354,975.238095238099,0.5,4/4,x,1,4,0
0,24520.27210884354,24706.03174603175,185.75963718821004,0.25,4/4,.,1,4,0
C5,24706.03174603175,25100.77097505669,394.73922902494087,0.25,4/4,x,1,4,0
B4,25100.77097505669,25425.850340136054,325.0793650793639,0.25,4/4,x,1,4,0
A4,25425.850340136054,25890.249433106575,464.39909297052145,0.25,4/4,x,1,4,0
B4,25890.249433106575,26354.648526077097,464.39909297052145,0.25,4/4,x,1,5,0
A5,26354.648526077097,26726.167800453513,371.51927437641643,0.25,4/4,x,1,5,0
G5,26726.167800453513,27051.247165532877,325.0793650793639,0.25,4/4,x,1,5,0
B4,27051.247165532877,27469.20634920635,417.9591836734726,0.25,4/4,x,1,5,0
D4,27469.20634920635,27910.385487528343,441.1791383219934,0.25,4/4,B,1,5,0
G5,27910.385487528343,28467.66439909297,557.2789115646265,0.25,4/4,x,1,5,0
F♯5,28467.66439909297,28583.764172335603,116.09977324263309,0.25,4/4,x,1,5,0
A4,28583.764172335603,29071.38321995465,487.6190476190459,0.25,4/4,x,1,5,0
G♯4,29071.38321995465,29791.201814058957,719.8185941043084,0.25,4/4,B,1,5,0
F♯5,29791.201814058957,30209.160997732426,417.95918367346894,0.25,4/4,x,1,5,0
E♯5,30209.160997732426,30743.219954648528,534.058956916102,0.25,4/4,x,1,5,0
E5,30743.219954648528,30836.09977324263,92.87981859410138,0.25,4/4,x,1,5,0
D♯5,30836.09977324263,31184.39909297052,348.299319727892,0.25,4/4,x,1,5,0
D5,31184.39909297052,31463.038548752833,278.6394557823114,0.25,4/4,x,1,5,0
C♯5,31463.038548752833,31834.557823129253,371.51927437642007,0.25,4/4,x,1,5,0
B4,31834.557823129253,32275.736961451243,441.17913832198974,0.25,4/4,x,1,5,0
F♯4,32275.736961451243,32949.115646258506,673.3786848072632,0.25,4/4,B,1,6,0
B5,32949.115646258506,33576.05442176871,626.938775510207,0.25,4/4,x,1,6,0
A♯5,33576.05442176871,33738.59410430839,162.5396825396747,0.25,4/4,x,1,6,0
A5,33738.59410430839,33901.13378684807,162.53968253968196,0.25,4/4,x,1,6,0
G♯5,33901.13378684807,34249.43310657596,348.299319727892,0.25,4/4,x,1,6,0
G5,34249.43310657596,34551.2925170068,301.85941043083585,0.25,4/4,x,1,6,0
F♯5,34551.2925170068,34876.37188208617,325.0793650793712,0.25,4/4,x,1,6,0
A♯5,34876.37188208617,35363.990929705215,487.6190476190459,0.25,4/4,x,1,6,0
B5,35363.990929705215,36223.12925170068,859.138321995466,0.5,4/4,x,1,6,0
B4,36223.12925170068,36548.208616780044,325.0793650793639,0.25,4/4,b,1,6,0
C♯5,36548.208616780044,36942.947845804985,394.73922902494087,0.25,4/4,b,1,6,0
D5,36942.947845804985,37337.687074829926,394.73922902494087,0.25,4/4,b,1,6,0
B5,37337.687074829926,37685.986394557825,348.2993197278993,0.25,4/4,u,1,6,0
E5,37685.986394557825,38034.28571428572,348.299319727892,0.25,4/4,b,1,6,0
C♯6,38034.28571428572,38498.684807256235,464.3990929705178,0.25,4/4,u,1,6,0
F♯5,38498.684807256235,38846.98412698413,348.299319727892,0.25,4/4,b,1,7,0
B5,38846.98412698413,39195.28344671202,348.299319727892,0.25,4/4,u,1,7,0
A♯5,39195.28344671202,40193.74149659864,998.4580498866198,0.5,4/4,u,1,7,0
0,40193.74149659864,40425.941043083905,232.19954648526618,0.5,4/4,.,1,7,0
A♯5,40425.941043083905,40751.02040816326,325.07936507935665,0.25,4/4,u,1,7,0
B5,40751.02040816326,41145.7596371882,394.73922902494087,0.25,4/4,u,1,7,0
C♯6,41145.7596371882,41540.49886621315,394.73922902494814,0.25,4/4,u,1,7,0
