Note,Onset (ms),Offset (ms),Time_duration (ms),Score_duration,Time-Signature,Voice,Movement,Measure,Repeated
0,0,364.0888888888889,364.0888888888889,0,0,.,x,x,.
B4,364.0888888888889,978.4888888888888,614.3999999999999,0.25,4/4,x,1,1,0
D5,978.4888888888888,1274.3111111111111,295.8222222222223,0.25,4/4,x,1,1,0
F♯5,1274.3111111111111,3527.1111111111113,2252.8,1.5,4/4,x,1,1,0
A4,3527.1111111111113,4050.488888888889,523.3777777777777,0.25,4/4,x,1,1,0
C♯5,4050.488888888889,4391.822222222222,341.33333333333303,0.25,4/4,x,1,1,0
F♯5,4391.822222222222,6644.622222222222,2252.8,1.5,4/4,x,1,1,0
G4,6644.622222222222,7145.2444444444445,500.62222222222226,0.25,4/4,x,1,2,0
B4,7145.2444444444445,7509.333333333333,364.0888888888885,0.25,4/4,x,1,2,0
E5,7509.333333333333,9352.533333333333,1843.1999999999998,1.0,4/4,x,1,2,0
E♯5,9352.533333333333,9716.622222222222,364.0888888888894,0.25,4/4,x,1,2,0
F♯5,9716.622222222222,10535.822222222223,819.2000000000007,0.25,4/4,x,1,2,0
F♯4,10535.822222222223,12947.91111111111,2412.0888888888876,1.0,4/4,x,1,2,0
0,12947.91111111111,13721.6,773.6888888888898,1.0,4/4,.,1,2,0
0,13721.6,13744.355555555556,22.755555555555475,0,0,.,x,x,.
0,13744.355555555556,13767.111111111111,22.755555555555475,0.25,4/4,.,2,3,0
D5,13767.111111111111,13835.377777777778,68.26666666666642,0.125,4/4,u,2,3,0
C♯5,13835.377777777778,13926.4,91.0222222222219,0.125,4/4,x,2,3,0
D5,13926.4,14108.444444444445,182.04444444444562,0.25,4/4,u,2,3,0
B4,14108.444444444445,14313.244444444445,204.79999999999927,0.25,4/4,b,2,3,0
G5,14313.244444444445,14472.533333333333,159.28888888888832,0.25,4/4,u,2,3,0
B4,14472.533333333333,14700.08888888889,227.55555555555657,0.25,4/4,b,2,3,0
C♯5,14700.08888888889,14882.133333333333,182.0444444444438,0.25,4/4,b,2,3,0
G5,14882.133333333333,15086.933333333332,204.79999999999927,0.25,4/4,u,2,3,0
D5,15086.933333333332,15337.244444444445,250.31111111111204,0.25,4/4,b,2,3,0
F♯5,15337.244444444445,15405.511111111111,68.26666666666642,0.125,4/4,u,2,3,0
E5,15405.511111111111,15428.266666666668,22.755555555557294,0.125,4/4,x,2,3,0
F♯5,15428.266666666668,15678.577777777777,250.3111111111084,0.25,4/4,u,2,3,0
D5,15678.577777777777,15883.377777777778,204.8000000000011,0.25,4/4,b,2,3,0
A5,15883.377777777778,16088.177777777777,204.79999999999927,0.25,4/4,u,2,3,0
C♯5,16088.177777777777,16270.222222222223,182.04444444444562,0.25,4/4,b,2,3,0
D♯5,16270.222222222223,16429.51111111111,159.28888888888832,0.25,4/4,b,2,3,0
A5,16429.51111111111,16793.600000000002,364.08888888889123,0.25,4/4,u,2,3,0
E5,16793.600000000002,16884.622222222224,91.0222222222219,0.25,4/4,b,2,4,0
G5,16884.622222222224,17203.2,318.57777777777665,0.125,4/4,u,2,4,0
F♯5,17203.2,17225.955555555553,22.755555555551837,0.125,4/4,x,2,4,0
G5,17225.955555555553,17248.711111111108,22.755555555555475,0.25,4/4,u,2,4,0
E5,17248.711111111108,17430.755555555555,182.04444444444744,0.25,4/4,b,2,4,0
A♯5,17430.755555555555,17612.8,182.0444444444438,0.25,4/4,u,2,4,0
F♯5,17612.8,17817.6,204.79999999999927,0.25,4/4,b,2,4,0
C♯6,17817.6,18045.155555555557,227.55555555555839,0.25,4/4,u,2,4,0
E5,18045.155555555557,18227.2,182.0444444444438,0.25,4/4,b,2,4,0
D5,18227.2,18454.755555555555,227.55555555555475,0.25,4/4,b,2,4,0
F♯5,18454.755555555555,18591.28888888889,136.53333333333285,0.25,4/4,u,2,4,0
B5,18591.28888888889,18773.333333333332,182.0444444444438,0.25,4/4,u,2,4,0
D5,18773.333333333332,19000.888888888887,227.55555555555475,0.25,4/4,b,2,4,0
E5,19000.888888888887,19205.68888888889,204.8000000000029,0.25,4/4,b,2,4,0
C♯6,19205.68888888889,19410.48888888889,204.79999999999927,0.25,4/4,u,2,4,0
F♯5,19410.48888888889,19569.777777777777,159.28888888888832,0.25,4/4,b,2,4,0
A♯5,19569.777777777777,19842.844444444447,273.06666666666933,0.25,4/4,u,2,4,0
B4,19842.844444444447,20115.91111111111,273.06666666666206,0.25,4/4,b,2,5,0
C♯5,20115.91111111111,20320.71111111111,204.8000000000029,0.25,4/4,x,2,5,0
D5,20320.71111111111,20457.244444444445,136.53333333333285,0.25,4/4,u,2,5,0
A4,20457.244444444445,20639.28888888889,182.0444444444438,0.25,4/4,b,2,5,0
G♯4,20639.28888888889,20844.08888888889,204.8000000000029,0.25,4/4,b,2,5,0
D5,20844.08888888889,21048.88888888889,204.79999999999927,0.25,4/4,u,2,5,0
F♯4,21048.88888888889,21139.911111111112,91.0222222222219,0.25,4/4,b,2,5,0
D5,21139.911111111112,21435.733333333334,295.82222222222117,0.25,4/4,u,2,5,0
E♯4,21435.733333333334,21708.8,273.0666666666657,0.25,4/4,b,2,5,0
C♯5,21708.8,21890.844444444443,182.0444444444438,0.25,4/4,u,2,5,0
B♯4,21890.844444444443,22095.644444444446,204.8000000000029,0.25,4/4,x,2,5,0
C♯5,22095.644444444446,22300.444444444445,204.79999999999927,0.25,4/4,u,2,5,0
G♯5,22300.444444444445,22505.244444444445,204.79999999999927,0.25,4/4,u,2,5,0
C♯5,22505.244444444445,22732.8,227.55555555555475,0.25,4/4,b,2,5,0
B5,22732.8,22801.066666666666,68.26666666666642,0.25,4/4,u,2,5,0
C♯5,22801.066666666666,23506.48888888889,705.4222222222234,0.25,4/4,b,2,5,0
0,23506.48888888889,23597.51111111111,91.0222222222219,0.25,4/4,.,2,6,0
A4,23597.51111111111,23665.777777777777,68.26666666666642,0.125,4/4,u,2,6,0
G♯4,23665.777777777777,23779.555555555555,113.77777777777737,0.125,4/4,x,2,6,0
A4,23779.555555555555,23984.355555555558,204.8000000000029,0.25,4/4,u,2,6,0
F♯4,23984.355555555558,24166.399999999998,182.04444444444016,0.25,4/4,b,2,6,0
D5,24166.399999999998,24393.955555555556,227.55555555555839,0.25,4/4,u,2,6,0
F♯4,24393.955555555556,24553.244444444445,159.28888888888832,0.25,4/4,b,2,6,0
G♯4,24553.244444444445,24758.044444444444,204.79999999999927,0.25,4/4,b,2,6,0
D5,24758.044444444444,24962.844444444447,204.8000000000029,0.25,4/4,u,2,6,0
A4,24962.844444444447,25213.155555555557,250.31111111111022,0.25,4/4,b,2,6,0
C♯5,25213.155555555557,25281.422222222223,68.26666666666642,0.125,4/4,u,2,6,0
B4,25281.422222222223,25349.68888888889,68.26666666666642,0.125,4/4,x,2,6,0
C♯5,25349.68888888889,25577.244444444445,227.55555555555475,0.25,4/4,u,2,6,0
A4,25577.244444444445,25782.044444444444,204.79999999999927,0.25,4/4,b,2,6,0
E5,25782.044444444444,26009.6,227.55555555555475,0.25,4/4,u,2,6,0
G♯4,26009.6,26168.88888888889,159.28888888889196,0.25,4/4,b,2,6,0
A♯4,26168.88888888889,26373.68888888889,204.79999999999927,0.25,4/4,b,2,6,0
E5,26373.68888888889,26578.48888888889,204.79999999999927,0.25,4/4,u,2,6,0
B4,26578.48888888889,26828.800000000003,250.31111111111386,0.25,4/4,b,2,7,0
D5,26828.800000000003,26919.82222222222,91.02222222221826,0.125,4/4,u,2,7,0
C♯5,26919.82222222222,26942.577777777777,22.755555555555475,0.125,4/4,x,2,7,0
D5,26942.577777777777,27170.13333333333,227.55555555555475,0.25,4/4,u,2,7,0
B4,27170.13333333333,27397.68888888889,227.55555555555839,0.25,4/4,b,2,7,0
E♯5,27397.68888888889,27556.977777777778,159.28888888888832,0.25,4/4,u,2,7,0
C♯5,27556.977777777778,27761.777777777777,204.79999999999927,0.25,4/4,b,2,7,0
G♯5,27761.777777777777,27966.57777777778,204.8000000000029,0.25,4/4,u,2,7,0
B4,27966.57777777778,28125.86666666667,159.28888888888832,0.25,4/4,b,2,7,0
A4,28125.86666666667,28353.42222222222,227.5555555555511,0.25,4/4,b,2,7,0
C♯5,28353.42222222222,28626.48888888889,273.06666666666933,0.25,4/4,u,2,7,0
F♯5,28626.48888888889,28717.51111111111,91.0222222222219,0.25,4/4,u,2,7,0
A4,28717.51111111111,28922.31111111111,204.79999999999927,0.25,4/4,b,2,7,0
B4,28922.31111111111,29149.86666666667,227.55555555555839,0.25,4/4,b,2,7,0
G♯5,29149.86666666667,29331.911111111112,182.0444444444438,0.25,4/4,u,2,7,0
C♯5,29331.911111111112,29696.0,364.0888888888876,0.25,4/4,b,2,7,0
E♯5,29696.0,29787.022222222222,91.0222222222219,0.25,4/4,u,2,7,0
F♯4,29787.022222222222,30060.088888888888,273.0666666666657,0.25,4/4,x,2,8,0
A4,30060.088888888888,30219.377777777776,159.28888888888832,0.25,4/4,x,2,8,0
C♯5,30219.377777777776,30446.933333333334,227.55555555555839,0.25,4/4,x,2,8,0
F♯5,30446.933333333334,30902.044444444447,455.11111111111313,0.25,4/4,x,2,8,0
0,30902.044444444447,30970.31111111111,68.26666666666279,0.25,4/4,.,2,8,0
A5,30970.31111111111,31152.355555555554,182.0444444444438,0.25,4/4,u,2,8,0
C♯5,31152.355555555554,31539.2,386.8444444444467,0.25,4/4,b,2,8,0
E5,31539.2,31652.977777777778,113.77777777777737,0.25,4/4,x,2,8,0
D♯5,31652.977777777778,31812.266666666666,159.28888888888832,0.25,4/4,b,2,8,0
F♯5,31812.266666666666,31971.555555555555,159.28888888888832,0.25,4/4,u,2,8,0
B4,31971.555555555555,32176.355555555554,204.79999999999927,0.25,4/4,b,2,8,0
B5,32176.355555555554,32381.155555555557,204.8000000000029,0.25,4/4,u,2,8,0
C♯5,32381.155555555557,32585.955555555556,204.79999999999927,0.25,4/4,b,2,8,0
A5,32585.955555555556,32881.77777777778,295.8222222222248,0.25,4/4,u,2,8,0
D♯5,32881.77777777778,32972.8,91.0222222222219,0.25,4/4,b,2,8,0
F♯5,32972.8,33223.11111111111,250.31111111110658,0.25,4/4,u,2,8,0
E4,33223.11111111111,33427.911111111105,204.79999999999563,0.25,4/4,x,2,9,0
G4,33427.911111111105,33632.711111111115,204.8000000000102,0.25,4/4,x,2,9,0
B4,33632.711111111115,34019.555555555555,386.84444444443943,0.25,4/4,x,2,9,0
E5,34019.555555555555,34315.37777777778,295.8222222222248,0.25,4/4,x,2,9,0
0,34315.37777777778,34406.4,91.0222222222219,0.25,4/4,.,2,9,0
G5,34406.4,34633.95555555555,227.55555555554747,0.25,4/4,u,2,9,0
B4,34633.95555555555,34861.51111111111,227.55555555556202,0.25,4/4,b,2,9,0
