Note,Onset (ms),Offset (ms),Time_duration (ms),Score_duration,Time-Signature,Voice,Movement,Measure,Repeated
0,0,11749.297052154194,11749.297052154194,0,0,.,x,x,.
A4,11749.297052154194,12933.514739229026,1184.2176870748317,1.0,3/4,x,1,1,0
C5,12933.514739229026,13931.972789115645,998.4580498866198,1.0,3/4,x,1,1,0
E5,13931.972789115645,15139.410430839001,1207.4376417233561,1.0,3/4,x,1,1,0
F4,15139.410430839001,16462.94784580499,1323.5374149659874,1.0,3/4,x,1,2,0
0,16462.94784580499,16927.34693877551,464.39909297052145,0.25,3/4,.,1,2,0
E5,16927.34693877551,17275.6462585034,348.29931972788836,0.25,3/4,x,1,2,0
D5,17275.6462585034,17600.725623582766,325.07936507936756,0.25,3/4,x,1,2,0
C♯5,17600.725623582766,17809.7052154195,208.97959183673447,0.25,3/4,x,1,2,0
D5,17809.7052154195,18088.344671201812,278.6394557823114,0.25,3/4,x,1,2,0
F5,18088.344671201812,18390.20408163265,301.8594104308395,0.25,3/4,x,1,2,0
A5,18390.20408163265,18738.503401360544,348.299319727892,0.25,3/4,x,1,2,0
D6,18738.503401360544,19249.342403628118,510.83900226757396,0.25,3/4,x,1,2,0
G4,19249.342403628118,20387.120181405895,1137.7777777777774,1.0,3/4,x,1,3,0
B4,20387.120181405895,21408.798185941047,1021.6780045351516,1.0,3/4,x,1,3,0
D5,21408.798185941047,22546.57596371882,1137.7777777777737,1.0,3/4,x,1,3,0
E4,22546.57596371882,23684.353741496598,1137.7777777777774,1.0,3/4,x,1,4,0
0,23684.353741496598,24032.65306122449,348.299319727892,0.25,3/4,.,1,4,0
D5,24032.65306122449,24404.17233560091,371.51927437642007,0.25,3/4,x,1,4,0
C5,24404.17233560091,24589.931972789116,185.7596371882064,0.25,3/4,x,1,4,0
B4,24589.931972789116,24984.67120181406,394.7392290249445,0.25,3/4,x,1,4,0
C5,24984.67120181406,25193.65079365079,208.97959183673083,0.25,3/4,x,1,4,0
E5,25193.65079365079,25518.73015873016,325.07936507936756,0.25,3/4,x,1,4,0
G5,25518.73015873016,25797.369614512474,278.63945578231505,0.25,3/4,x,1,4,0
C6,25797.369614512474,26284.988662131516,487.61904761904225,0.25,3/4,x,1,4,0
F4,26284.988662131516,27306.666666666668,1021.6780045351516,1.0,3/4,x,1,5,0
A4,27306.666666666668,28305.124716553288,998.4580498866198,1.0,3/4,x,1,5,0
C5,28305.124716553288,29582.222222222223,1277.097505668935,1.0,3/4,x,1,5,0
D4,29582.222222222223,30000.18140589569,417.95918367346894,0.25,3/4,x,1,6,0
C5,30000.18140589569,30255.60090702948,255.41950113378698,0.25,3/4,x,1,6,0
B4,30255.60090702948,30511.020408163266,255.41950113378698,0.25,3/4,x,1,6,0
A4,30511.020408163266,30905.759637188206,394.73922902494087,0.25,3/4,x,1,6,0
C5,30905.759637188206,31230.839002267574,325.07936507936756,0.25,3/4,x,1,6,0
A4,31230.839002267574,31579.138321995466,348.299319727892,0.25,3/4,x,1,6,0
G♯4,31579.138321995466,31950.657596371882,371.51927437641643,0.25,3/4,x,1,6,0
A4,31950.657596371882,32229.297052154194,278.6394557823114,0.25,3/4,x,1,6,0
G♯4,32229.297052154194,32507.936507936505,278.6394557823114,0.25,3/4,x,1,6,0
A4,32507.936507936505,32716.916099773243,208.9795918367381,0.25,3/4,x,1,6,0
G♯4,32716.916099773243,32995.555555555555,278.6394557823114,0.25,3/4,x,1,6,0
A4,32995.555555555555,33367.074829931975,371.51927437642007,0.25,3/4,x,1,6,0
E4,33367.074829931975,33808.25396825397,441.179138321997,0.25,3/4,x,1,7,0
A4,33808.25396825397,34040.45351473922,232.19954648525163,0.25,3/4,x,1,7,0
G♯4,34040.45351473922,34295.87301587301,255.41950113378698,0.25,3/4,x,1,7,0
A4,34295.87301587301,34597.73242630385,301.8594104308431,0.25,3/4,x,1,7,0
C5,34597.73242630385,34969.251700680274,371.51927437642007,0.25,3/4,x,1,7,0
A4,34969.251700680274,35247.89115646259,278.63945578231505,0.25,3/4,x,1,7,0
G♯4,35247.89115646259,35572.970521541945,325.07936507935665,0.25,3/4,x,1,7,0
A4,35572.970521541945,35828.39002267573,255.41950113378698,0.25,3/4,x,1,7,0
G♯4,35828.39002267573,36083.80952380952,255.41950113378698,0.25,3/4,x,1,7,0
A4,36083.80952380952,36362.44897959184,278.63945578232233,0.25,3/4,x,1,7,0
