Note,Onset (ms),Offset (ms),Time_duration (ms),Score_duration,Time-Signature,Voice,Movement,Measure,Repeated
0,0,6199.727891156463,6199.727891156463,0,0,.,x,x,.
E4,6199.727891156463,7082.086167800454,882.3582766439913,1.0,3/4,b,1,1,0
G♯5,7082.086167800454,7709.024943310657,626.9387755102034,1.0,3/4,u,1,1,0
A5,7709.024943310657,8382.403628117914,673.3786848072568,0.75,3/4,x,1,1,0
B5,8382.403628117914,8661.043083900227,278.63945578231323,0.25,3/4,x,1,1,0
F♯4,8661.043083900227,9450.521541950113,789.4784580498854,1.0,3/4,b,1,2,0
D♯5,9450.521541950113,10240.0,789.4784580498872,1.0,3/4,x,1,2,0
E5,10240.0,10797.278911564625,557.2789115646247,0.75,3/4,x,1,2,0
F♯5,10797.278911564625,11029.478458049887,232.19954648526254,0.25,3/4,u,1,2,0
G♯4,11029.478458049887,11633.197278911564,603.7188208616772,0.75,3/4,b,1,3,0
B4,11633.197278911564,11818.956916099774,185.75963718821004,0.25,3/4,x,1,3,0
E5,11818.956916099774,12422.675736961452,603.7188208616772,0.75,3/4,x,1,3,0
D♯5,12422.675736961452,12585.215419501134,162.53968253968196,0.25,3/4,x,1,3,0
E5,12585.215419501134,13374.69387755102,789.4784580498872,1.0,3/4,u,1,3,0
A4,13374.69387755102,14071.292517006803,696.5986394557822,0.75,3/4,x,1,4,0
C♯5,14071.292517006803,14280.272108843537,208.97959183673447,0.25,3/4,u,1,4,0
D♯4,14280.272108843537,14930.430839002269,650.1587301587315,0.75,3/4,b,1,4,0
B4,14930.430839002269,15487.709750566893,557.2789115646247,0.25,3/4,u,1,4,0
A4,15487.709750566893,15673.469387755102,185.75963718820822,0.75,3/4,x,1,4,0
G♯4,15673.469387755102,15766.349206349207,92.87981859410502,0.125,3/4,x,1,4,0
A4,15766.349206349207,15975.328798185941,208.97959183673447,0.125,3/4,u,1,4,0
E4,15975.328798185941,16602.267573696146,626.9387755102052,0.75,3/4,b,1,5,0
A4,16602.267573696146,16811.24716553288,208.97959183673447,0.25,3/4,x,1,5,0
G♯4,16811.24716553288,17461.40589569161,650.1587301587278,1.0,3/4,u,1,5,0
0,17461.40589569161,18506.303854875285,1044.897959183676,1.0,3/4,.,1,5,0
D♯4,18506.303854875285,19272.562358276646,766.2585034013609,1.0,3/4,x,1,6,0
F♯4,19272.562358276646,20038.820861678003,766.2585034013573,1.0,3/4,x,1,6,0
G♯4,20038.820861678003,20526.439909297053,487.6190476190495,0.75,3/4,x,1,6,0
A4,20526.439909297053,20758.63945578231,232.1995464852589,0.25,3/4,x,1,6,0
E4,20758.63945578231,21385.578231292515,626.9387755102034,1.0,3/4,x,1,7,0
