Note,Onset (ms),Offset (ms),Time_duration (ms),Score_duration,Time-Signature,Voice,Movement,Measure,Repeated
0,0,1114.5578231292516,1114.5578231292516,0,0,.,x,x,.
A4,1114.5578231292516,2438.0952380952385,1323.537414965987,1.25,4/4,x,1,1,0
B4,2438.0952380952385,2763.1746031746034,325.07936507936483,0.25,4/4,x,1,1,0
A4,2763.1746031746034,2948.934240362812,185.75963718820867,0.25,4/4,x,1,1,0
E4,2948.934240362812,3157.9138321995465,208.97959183673447,0.25,4/4,x,1,1,0
A4,3157.9138321995465,3343.673469387755,185.75963718820867,0.25,4/4,x,1,1,0
C♯5,3343.673469387755,3506.2131519274376,162.53968253968242,0.25,4/4,x,1,1,0
A4,3506.2131519274376,3645.532879818594,139.31972789115662,0.25,4/4,x,1,1,0
E4,3645.532879818594,3808.0725623582766,162.53968253968242,0.25,4/4,x,1,1,0
A4,3808.0725623582766,3970.6122448979595,162.53968253968287,0.25,4/4,x,1,1,0
B4,3970.6122448979595,4133.151927437642,162.53968253968287,0.25,4/4,x,1,1,0
A4,4133.151927437642,4226.0317460317465,92.87981859410411,0.25,4/4,x,1,1,0
E4,4226.0317460317465,4365.351473922902,139.3197278911557,0.25,4/4,x,1,1,0
A4,4365.351473922902,4481.4512471655335,116.09977324263127,0.25,4/4,x,1,2,0
C♯5,4481.4512471655335,4597.551020408163,116.09977324262945,0.25,4/4,x,1,2,0
A4,4597.551020408163,4713.650793650793,116.09977324263036,0.25,4/4,x,1,2,0
E4,4713.650793650793,4829.750566893425,116.09977324263127,0.25,4/4,x,1,2,0
A4,4829.750566893425,4969.07029478458,139.3197278911557,0.25,4/4,x,1,2,0
E5,4969.07029478458,5108.390022675737,139.31972789115662,0.25,4/4,x,1,2,0
A4,5108.390022675737,5178.049886621316,69.65986394557876,0.25,4/4,x,1,2,0
E4,5178.049886621316,5294.149659863946,116.09977324263036,0.25,4/4,x,1,2,0
A4,5294.149659863946,5572.789115646258,278.6394557823123,0.25,4/4,x,1,2,0
E5,5572.789115646258,5735.328798185941,162.53968253968287,0.25,4/4,x,1,2,0
F♯5,5735.328798185941,5874.648526077097,139.3197278911557,0.25,4/4,x,1,2,0
D5,5874.648526077097,6013.9682539682535,139.31972789115662,0.25,4/4,x,1,2,0
E5,6013.9682539682535,6083.628117913832,69.65986394557876,0.25,4/4,x,1,2,0
C♯5,6083.628117913832,6176.507936507937,92.87981859410502,0.25,4/4,x,1,2,0
D5,6176.507936507937,6315.827664399093,139.3197278911557,0.25,4/4,x,1,2,0
B4,6315.827664399093,6408.707482993197,92.87981859410411,0.25,4/4,x,1,2,0
C♯5,6408.707482993197,6687.34693877551,278.63945578231323,0.25,4/4,x,1,3,0
E5,6687.34693877551,6849.886621315192,162.53968253968196,0.25,4/4,x,1,3,0
F♯5,6849.886621315192,6942.766439909297,92.87981859410502,0.25,4/4,x,1,3,0
D5,6942.766439909297,7058.866213151928,116.09977324263036,0.25,4/4,x,1,3,0
E5,7058.866213151928,7174.965986394557,116.09977324262945,0.25,4/4,x,1,3,0
C♯5,7174.965986394557,7291.065759637188,116.09977324263127,0.25,4/4,x,1,3,0
D5,7291.065759637188,7383.9455782312925,92.87981859410411,0.25,4/4,x,1,3,0
B4,7383.9455782312925,7500.045351473923,116.09977324263036,0.25,4/4,x,1,3,0
C♯5,7500.045351473923,7662.585034013605,162.53968253968196,0.25,4/4,x,1,3,0
