Note,Onset (ms),Offset (ms),Time_duration (ms),Score_duration,Time-Signature,Voice,Movement,Measure,Repeated
0,0,534.0589569160998,534.0589569160998,0,0,.,x,x,.
B4,534.0589569160998,1160.9977324263039,626.9387755102041,0.25,4/4,x,1,1,0
D5,1160.9977324263039,1462.857142857143,301.85941043083903,0.25,4/4,x,1,1,0
F♯5,1462.857142857143,3854.5124716553287,2391.655328798186,1.5,4/4,x,1,1,0
A4,3854.5124716553287,4481.4512471655335,626.9387755102048,0.25,4/4,x,1,1,0
C♯5,4481.4512471655335,4852.97052154195,371.51927437641643,0.25,4/4,x,1,1,0
F♯5,4852.97052154195,7291.065759637188,2438.0952380952385,1.5,4/4,x,1,1,0
G4,7291.065759637188,7871.56462585034,580.4988662131518,0.25,4/4,x,1,2,0
B4,7871.56462585034,8312.743764172335,441.1791383219952,0.25,4/4,x,1,2,0
E5,8312.743764172335,10170.340136054423,1857.5963718820876,1.0,4/4,x,1,2,0
E♯5,10170.340136054423,10983.038548752835,812.6984126984116,0.25,4/4,x,1,2,0
F♯5,10983.038548752835,11772.51700680272,789.4784580498854,0.25,4/4,x,1,2,0
F♯4,11772.51700680272,14210.612244897959,2438.0952380952385,1.0,4/4,x,1,2,0
0,14210.612244897959,16857.687074829933,2647.074829931975,1.0,4/4,.,1,2,0
0,16857.687074829933,16880.907029478458,23.219954648524435,0,0,.,x,x,.
0,16880.907029478458,16904.126984126986,23.219954648528073,0.25,4/4,.,2,3,0
D5,16904.126984126986,16997.006802721087,92.87981859410138,0.125,4/4,u,2,3,0
C♯5,16997.006802721087,17043.446712018143,46.43990929705615,0.125,4/4,x,2,3,0
D5,17043.446712018143,17252.426303854874,208.97959183673083,0.25,4/4,u,2,3,0
B4,17252.426303854874,17507.84580498866,255.41950113378698,0.25,4/4,b,2,3,0
G5,17507.84580498866,17693.60544217687,185.75963718821004,0.25,4/4,u,2,3,0
B4,17693.60544217687,17925.804988662134,232.19954648526254,0.25,4/4,b,2,3,0
C♯5,17925.804988662134,18158.004535147393,232.1995464852589,0.25,4/4,b,2,3,0
G5,18158.004535147393,18390.20408163265,232.1995464852589,0.25,4/4,u,2,3,0
D5,18390.20408163265,18715.28344671202,325.07936507936756,0.25,4/4,b,2,3,0
F♯5,18715.28344671202,18761.72335600907,46.43990929705251,0.125,4/4,u,2,3,0
E5,18761.72335600907,18784.943310657596,23.219954648524435,0.125,4/4,x,2,3,0
F♯5,18784.943310657596,19063.58276643991,278.63945578231505,0.25,4/4,u,2,3,0
D5,19063.58276643991,19272.562358276646,208.97959183673447,0.25,4/4,b,2,3,0
A5,19272.562358276646,19504.76190476191,232.19954648526254,0.25,4/4,u,2,3,0
C♯5,19504.76190476191,19690.52154195011,185.75963718820276,0.25,4/4,b,2,3,0
D♯5,19690.52154195011,19922.721088435374,232.19954648526254,0.25,4/4,b,2,3,0
A5,19922.721088435374,20154.920634920636,232.19954648526254,0.25,4/4,u,2,3,0
E5,20154.920634920636,20410.340136054423,255.41950113378698,0.25,4/4,b,2,4,0
G5,20410.340136054423,20456.780045351476,46.43990929705251,0.125,4/4,u,2,4,0
F♯5,20456.780045351476,20596.099773242633,139.31972789115753,0.125,4/4,x,2,4,0
G5,20596.099773242633,20735.419501133787,139.3197278911539,0.25,4/4,u,2,4,0
E5,20735.419501133787,20944.39909297052,208.97959183673447,0.25,4/4,b,2,4,0
A♯5,20944.39909297052,21176.598639455784,232.19954648526254,0.25,4/4,u,2,4,0
F♯5,21176.598639455784,21362.35827664399,185.7596371882064,0.25,4/4,b,2,4,0
C♯6,21362.35827664399,21594.55782312925,232.1995464852589,0.25,4/4,u,2,4,0
E5,21594.55782312925,21826.757369614512,232.19954648526254,0.25,4/4,b,2,4,0
D5,21826.757369614512,22105.396825396827,278.63945578231505,0.25,4/4,b,2,4,0
F♯5,22105.396825396827,22267.93650793651,162.53968253968196,0.25,4/4,u,2,4,0
B5,22267.93650793651,22476.91609977324,208.97959183673083,0.25,4/4,u,2,4,0
D5,22476.91609977324,22709.115646258502,232.19954648526254,0.25,4/4,b,2,4,0
E5,22709.115646258502,22918.095238095237,208.97959183673447,0.25,4/4,b,2,4,0
C♯6,22918.095238095237,23127.074829931975,208.9795918367381,0.25,4/4,u,2,4,0
F♯5,23127.074829931975,23336.05442176871,208.97959183673447,0.25,4/4,b,2,4,0
A♯5,23336.05442176871,23591.473922902496,255.41950113378698,0.25,4/4,u,2,4,0
B4,23591.473922902496,23870.113378684808,278.6394557823114,0.25,4/4,b,2,5,0
C♯5,23870.113378684808,24079.092970521542,208.97959183673447,0.25,4/4,x,2,5,0
D5,24079.092970521542,24288.072562358277,208.97959183673447,0.25,4/4,u,2,5,0
A4,24288.072562358277,24497.05215419501,208.97959183673447,0.25,4/4,b,2,5,0
G♯4,24497.05215419501,24729.251700680274,232.19954648526254,0.25,4/4,b,2,5,0
D5,24729.251700680274,24984.67120181406,255.41950113378698,0.25,4/4,u,2,5,0
F♯4,24984.67120181406,25193.65079365079,208.97959183673083,0.25,4/4,b,2,5,0
D5,25193.65079365079,25425.850340136054,232.19954648526254,0.25,4/4,u,2,5,0
E♯4,25425.850340136054,25820.589569161,394.7392290249445,0.25,4/4,b,2,5,0
C♯5,25820.589569161,26029.56916099773,208.97959183673083,0.25,4/4,u,2,5,0
B♯4,26029.56916099773,26238.548752834467,208.9795918367381,0.25,4/4,x,2,5,0
C♯5,26238.548752834467,26470.748299319726,232.1995464852589,0.25,4/4,u,2,5,0
G♯5,26470.748299319726,26679.727891156464,208.9795918367381,0.25,4/4,u,2,5,0
C♯5,26679.727891156464,26935.14739229025,255.41950113378698,0.25,4/4,b,2,5,0
B5,26935.14739229025,27260.226757369615,325.0793650793639,0.25,4/4,u,2,5,0
C♯5,27260.226757369615,27469.20634920635,208.97959183673447,0.25,4/4,b,2,5,0
0,27469.20634920635,28072.92517006803,603.718820861679,0.25,4/4,.,2,6,0
A4,28072.92517006803,28165.80498866213,92.87981859410138,0.125,4/4,u,2,6,0
G♯4,28165.80498866213,28235.46485260771,69.65986394558058,0.125,4/4,x,2,6,0
