Note,Onset (ms),Offset (ms),Time_duration (ms),Score_duration,Time-Signature,Voice,Movement,Measure,Repeated
0,0,1462.857142857143,1462.857142857143,0,0,.,x,x,.
E5,1462.857142857143,2484.53514739229,1021.6780045351472,0.5,4/4,u,1,1,0
E4,2484.53514739229,3065.0340136054424,580.4988662131523,0.25,4/4,B,1,1,0
F♯4,3065.0340136054424,3366.8934240362814,301.85941043083903,0.25,4/4,B,1,1,0
G4,3366.8934240362814,3854.5124716553287,487.61904761904725,0.25,4/4,b,1,1,0
E5,3854.5124716553287,4179.591836734694,325.0793650793653,0.25,4/4,u,1,1,0
A4,4179.591836734694,4945.850340136055,766.2585034013609,0.25,4/4,b,1,1,0
E5,4945.850340136055,4969.07029478458,23.219954648525345,0.25,4/4,u,1,1,0
B4,4969.07029478458,5665.668934240362,696.5986394557822,0.25,4/4,b,1,1,0
E5,5665.668934240362,6130.068027210885,464.39909297052236,0.25,4/4,u,1,1,0
D♯5,6130.068027210885,7198.185941043084,1068.1179138321995,0.5,4/4,u,1,1,0
0,7198.185941043084,7894.7845804988665,696.5986394557822,0.5,4/4,.,1,1,0
D♯5,7894.7845804988665,8359.183673469388,464.39909297052145,0.25,4/4,x,1,1,0
E5,8359.183673469388,8939.68253968254,580.4988662131527,0.25,4/4,x,1,1,0
F♯5,8939.68253968254,9380.861678004536,441.1791383219952,0.25,4/4,x,1,2,0
B4,9380.861678004536,9752.380952380954,371.51927437641825,0.25,4/4,b,1,2,0
A4,9752.380952380954,10309.659863945579,557.2789115646247,0.25,4/4,b,1,2,0
C6,10309.659863945579,10657.959183673469,348.2993197278902,0.25,4/4,u,1,2,0
G4,10657.959183673469,11029.478458049887,371.51927437641825,0.25,4/4,B,1,2,0
B5,11029.478458049887,11447.437641723356,417.95918367346894,0.25,4/4,u,1,2,0
F♯4,11447.437641723356,11842.176870748299,394.7392290249427,0.25,4/4,B,1,2,0
A5,11842.176870748299,12329.795918367347,487.6190476190477,0.25,4/4,u,1,2,0
E4,12329.795918367347,13096.054421768707,766.2585034013609,0.25,4/4,B,1,2,0
